ORIGINAL,SIMBAD_SEARCH_NAME,PREFERRED,Alternate_PREFERRED,APT,Alternate_APT
AV 238|[M2002]_47540,AzV 238,AV 238,AV 238,AV238,AV238
[2dFS]-3780|[2dFS]_3780,2dFS 3780,2dFS 3780,2dFS 3780,2DFS-3780,2DFS-3780
AV 468|[M2002]_72941,AzV 468,AV 468,AV 468,AV468,AV468
NGC 346-025|NGC346_25,Cl* NGC 346 ELS 025,NGC346 25,NGC346 ELS 25,NGC346-25,NGC346-ELS-25
[SMCSGS-FS]-90|[SMCSGS-FS]_90,[M2002] SMC 81469,[M2002] SMC 81469,M2002 SMC 81469,SMC-81469,M2002-SMC-81469
AZV70|AV_70,AzV 70,AV 70,AV 70,AV70,AV70
AV 372|[M2002]_60577,AzV 372,AV 372,AV 372,AV372,AV372
SMC-WR2|AV39a,AzV 39a,AV 39a,AV 39a,AV39A,AV39A
SMC-WR4|AV81|SK41,SK 41,AV 81,AV 81,AV81,AV81
SMC-WR9|SMC AB9,SMC AB 9,2dFS 999,2dFS 999,2DFS-999,2DFS-999
SMC AB6|AV332|SK108,SK 108,AV 332,AV 332,AV332,AV332
NGC346-013,Cl* NGC 346 ELS 013,NGC346 13,NGC346 ELS 13,NGC346-13,NGC346-ELS-13
