target_name_ullyses,target_name_hlsp,target_name_simbad,target_name_ullyses_apt,alias0,alias1,alias2,alias3,alias4,alias5,alias6,alias7,alias8,alias9,alias10,alias12,alias13,alias14,alias15,alias16,alias17,alias18,alias19,alias20
AV 175,AV-175,AV 175,AV175,AZV 175,AV175,AV 175|[M2002]_37732,AV 175,[M2002]_37732,AV 175,[M2002]_37732,,,,,,,,,,,,,
AV 85,AV-85,AV 85,AV85,AZV 85,AV85,OGLE005100.18-725303|OGLE_-9999,OGLE005100.18-725303.9,OGLE005100.18-725303,OGLE_-9999,OGLE005100.18-725303,OGLE_-9999,,,,,,,,,,,,
AV 472,AV-472,AV 472,AV472,AZV 472,AV472,AV 472|[2DFS]_2907,AV 472,[2DFS]_2907,AV 472,[2DFS]_2907,,,,,,,,,,,,,
AV 224,AV-224,AV 224,AV224,AZV 224,AV224,AV 224|[M2002]_45809,AV 224,[M2002]_45809,AV 224,[M2002]_45809,,,,,,,,,,,,,
2DFS 3694,2DFS-3694,2DFS 3694,2DFS-3694,2DFS 3694,2DFS-3694,[2DFS]-3694|[2DFS]_3694,[2DFS]-3694,[2DFS]_3694,[2DFS]-3694,[2DFS]_3694,,,,,,,,,,,,,
2DFS 3947,2DFS-3947,2DFS 3947,2DFS-3947,2DFS 3947,2DFS-3947,[SMCSGS-FS]-284|[SMCSGS-FS]_284,[SMCSGS-FS]-284,[SMCSGS-FS]_284,[SMCSGS-FS]-284,[SMCSGS-FS]_284,,,,,,,,,,,,,
2DFS 3689,2DFS-3689,2DFS 3689,2DFS-3689,2DFS 3689,2DFS-3689,[SMCSGS-FS]-96|[SMCSGS-FS]_96,[SMCSGS-FS]-96,[SMCSGS-FS]_96,[SMCSGS-FS]-96,[SMCSGS-FS]_96,,,,,,,,,,,,,
AV 96,AV-96,AV 96,AV96,AZV 96,AV96,AV 96|[M2002]_19728,AV 96,[M2002]_19728,AV 96,[M2002]_19728,,,,,,,,,,,,,
AV 266,AV-266,AV 266,AV266,AZV 266,AV266,AV 266|[M2002]_50609,AV 266,[M2002]_50609,AV 266,[M2002]_50609,,,,,,,,,,,,,
AV 264,AV-264,AV 264,AV264,AZV 264,AV264,AV264|AV_264,AV264,AV_264,AV264,AV_264,,,,,,,,,,,,,
AV 393,AV-393,AV 393,AV393,SK 124,AV393,SK-124|AZV-393,SK-124,AZV-393,SK-124,AZV-393,,,,,,,,,,,,,
AV 374,AV-374,AV 374,AV374,AZV 374,AV374,AZV374|AV_374,AZV374,AV_374,AZV374,AV_374,,,,,,,,,,,,,
AV 234,AV-234,AV 234,AV234,AZV 234,AV234,AV 234|[M2002]_47028,AV 234,[M2002]_47028,AV 234,[M2002]_47028,,,,,,,,,,,,,
AV 187,AV-187,AV 187,AV187,AZV 187,AV187,AV187|AV_187,AV187,AV_187,AV187,AV_187,,,,,,,,,,,,,
AV 324,AV-324,AV 324,AV324,AZV 324,AV324,AZV324|AV_324,AZV324,AV_324,AZV324,AV_324,,,,,,,,,,,,,
AV 314,AV-314,AV 314,AV314,AZV 314,AV314,AZV314|AV_314,AZV314,AV_314,AZV314,AV_314,,,,,,,,,,,,,
AV 445,AV-445,AV 445,AV445,AZV 445,AV445,AV 445|[2DFS]_2538,AV 445,[2DFS]_2538,AV 445,[2DFS]_2538,,,,,,,,,,,,,
AV 343,AV-343,AV 343,AV343,AZV 343,AV343,AZV343|AV_343,AZV343,AV_343,AZV343,AV_343,,,,,,,,,,,,,
SK 179,SK-179,SK 179,SK179,SK 179,SK179,SK 179|[M2002]_82928,SK 179,[M2002]_82928,SK 179,[M2002]_82928,,,,,,,,,,,,,
AV 200,AV-200,AV 200,AV200,AZV 200,AV200,AZV200|AV_200,AZV200,AV_200,AZV200,AV_200,,,,,,,,,,,,,
2DFS 3954,2DFS-3954,2DFS 3954,2DFS-3954,2DFS 3954,2DFS-3954,[2DFS]-3954|[2DFS]_3954,[2DFS]-3954,[2DFS]_3954,[2DFS]-3954,[2DFS]_3954,,,,,,,,,,,,,
2DFS 2266,2DFS-2266,2DFS 2266,2DFS-2266,2DFS 2266,2DFS-2266,[2DFS]-2266|[2DFS]_2266,[2DFS]-2266,[2DFS]_2266,[2DFS]-2266,[2DFS]_2266,,,,,,,,,,,,,
AV 440,AV-440,AV 440,AV440,AZV 440,AV440,AV 440|[M2002]_68756,AV 440,[M2002]_68756,AV 440,[M2002]_68756,,,,,,,,,,,,,
AV 251,AV-251,AV 251,AV251,AZV 251,AV251,[M2002]-48672|[M2002]_48672|AV251,[M2002]-48672,[M2002]_48672,AV251,[M2002]-48672,[M2002]_48672,AV251,,,,,,,,,,,
AV 186,AV-186,AV 186,AV186,AV 186,AV186,NGC 330-013|NGC330_13,NGC 330-013,NGC330_13,CL* NGC 330 ELS 013,NGC 330-013,NGC330_13,,,,,,,,,,,,
SK 187,SK-187,SK 187,SK187,SK 187,SK187,SK 187|[M2002]_83678,SK 187,[M2002]_83678,SK 187,[M2002]_83678,,,,,,,,,,,,,
AV 255,AV-255,AV 255,AV255,AV 255,AV255,AV255|AV255,AV255,AZV255,AV255,AV255,,,,,,,,,,,,,
2DFS 163,2DFS-163,2DFS 163,2DFS-163,2DFS 163,2DFS-163,[2DFS]-163|[2DFS]_163,[2DFS]-163,[2DFS]_163,[2DFS]-163,[2DFS]_163,,,,,,,,,,,,,
AV 238,AV-238,AV 238,AV238,AZV 238,AV238,AV 238|[M2002]_47540,AV 238,[M2002]_47540,AV 238,[M2002]_47540,,,,,,,,,,,,,
2DFS 3780,2DFS-3780,2DFS 3780,2DFS-3780,2DFS 3780,2DFS-3780,[2DFS]-3780|[2DFS]_3780,[2DFS]-3780,[2DFS]_3780,[2DFS]-3780,[2DFS]_3780,,,,,,,,,,,,,
M2002 SMC 81469,M2002-SMC-81469,[M2002] SMC 81469,M2002-SMC-81469,M2002 SMC 81469,SMC-81469,[SMCSGS-FS]-90|[SMCSGS-FS]_90,[SMCSGS-FS]-90,[SMCSGS-FS]_90,[SMCSGS-FS]-90,[SMCSGS-FS]_90,,,,,,,,,,,,,
AV 372,AV-372,AV 372,AV372,AV372,AZV 372,AV 372|[M2002]_60577,AV 372,[M2002]_60577,AV 372,[M2002]_60577,,,,,,,,,,,,,
2DFS 999,2DFS-999,SMC AB 9,2DFS-999,2DFS 999,2DFS-999,SMC-WR9|SMC AB9,[M2002]_30420,SMC-WR9,SMC AB9,SMC-WR9,SMC AB9,,,,,,,,,,,,
AV 332,AV-332,AV 332,AV332,AZV332,AZV 332,AV332,AV_332,SK 108,SMC AB6,AV332,SK108,SMC AB6|AV332|SK108,SMC AB6,AV332,SK108,,,,,,,,
SK -67 216,SK-67D216,SK -67 216,SK-67D216,SK -67 216,SK-67D216,SK -67 216|SK_-67216,SK -67 216,SK_-67216,SK -67 216,SK_-67216,,,,,,,,,,,,,
