target_name_ullyses,target_name_simbad,simbad_link,target_classification,gaia_id,targ_ra,targ_dec,coordinate_epoch,host_galaxy_name,host_cluster_name,spectral_type,spectral_type_ref,sp_class,temp_class,lum_class,gaia_g_mean_mag,gaia_bp_mean_mag,gaia_rp_mean_mag,gaia_parallax,gaia_parallax_err,u_mag,u_mag_ref,b_mag,b_mag_ref,v_mag,v_mag_ref,bmv0_mag,bmv0_mag_ref,extinction_ebmv,extinction_ebmv_ref,radial_velocity,radial_velocity_ref,star_teff,star_teff_ref,surface_gravity,surface_gravity_ref,star_luminosity,star_luminosity_ref,star_radius,star_radius_ref,star_mass,star_mass_ref,rotation_velocity,rotation_velocity_ref,terminal_velocity,terminal_velocity_ref,rate_massloss,rate_massloss_ref,known_binary,known_binary_ref,Extra,F225W_STmag,F275W_STmag,F336W_STmag,F475W_STmag,F814W_STmag
N11 ELS 013,[ELS2006] N11 013,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=[ELS2006]+N11+013,Late O Dwarf,Gaia DR3 4662153331599106048,74.253686083234584,-66.407001865157142,2016.0,LMC,LH 10,O8 V,2006A&A...456..623E,O,8.0,V,13.326458,12.840068,12.978003,,,11.87,1992AJ....103.1205P,12.83,1992AJ....103.1205P,12.93,1992AJ....103.1205P,-0.27,2006A&A...457..637M,0.17,Derived from (B-V)0,283.5,2023A&A...676A..85S,,None,,None,,None,,None,,None,147.0,2009ApJ...700..844P,,None,,None,False,None,False,,,,,
SK -66 35,SK -66 35,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-66+35,Early B Supergiant,Gaia DR3 4662149551990093696,74.268519154116575,-66.577381612491948,2016.0,LMC,None,BC1 Ia,1991PASP..103.1123F,B,1.0,I,11.523948,11.471092,11.577894,-0.043301,0.026658,10.62,1999MNRAS.306..279S,11.52,1999MNRAS.306..279S,11.61,1999MNRAS.306..279S,-0.19,1970A&A.....4..234F,0.10,Derived from (B-V)0,307.0,1999RMxAC...8..149M,22000.0,2017AJ....154..102U,2.60,2017AJ....154..102U,,None,,None,,None,,None,,None,,None,True,1999RMxAC...8..149M,False,,,,,
SK -69 50,SK -69 50,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-69+50,Mid O Supergiant,Gaia DR3 4655269117524712064,74.312920673748906,-69.338876528325372,2016.0,LMC,None,O7(n)(f)p,2010AJ....139.1283W,O,7.0,None,13.252407,13.162514,13.381915,0.041885,0.017694,12.16,2002ApJS..141...81M,13.15,2002ApJS..141...81M,13.31,2002ApJS..141...81M,-0.27,2006A&A...457..637M,0.11,Derived from (B-V)0,214.0,2023.Welty.......pc,,None,,None,,None,,None,,None,210.0,2010AJ....139.1283W,,None,,None,False,None,False,,,,,
SK -68 15,BAT99 11,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=BAT99+11,Early WC Star,Gaia DR3 4661517298473099776,74.350361673149536,-68.399200442342050,2016.0,LMC,LH 12,WC4,2000AJ....119.2214M,WC,4.0,None,13.078550,12.986146,13.412078,0.028342,0.027722,12.19,2002ApJS..141...81M,12.77,2002ApJS..141...81M,12.90,2002ApJS..141...81M,,None,0.25,2001MNRAS.324...18B,,None,90000.0,2002A&A...392..653C,,None,5.70,2002A&A...392..653C,2.9,2002A&A...392..653C,,None,,None,3000.0,2002A&A...392..653C,3.20e-05,2002A&A...392..653C,False,None,False,,,,,
SK -67 22,SK -67 22,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-67+22,Early O Supergiant,Gaia DR3 4661666179215129728,74.364411268803977,-67.650796630450415,2016.0,LMC,None,O2 If*/WN5,2011MNRAS.416.1311C,O,2.0,I,13.428373,13.337166,13.566760,0.073639,0.023374,12.21,2002ApJS..141...81M,13.26,2002ApJS..141...81M,13.44,2002ApJS..141...81M,-0.28,2006A&A...457..637M,0.10,Derived from (B-V)0,430.0,2005ApJ...627..477M,50000.0,2014A&A...565A..27H,,None,5.80,2014A&A...565A..27H,10.6,2014A&A...565A..27H,53.0,2014A&A...565A..27H,200.0,2012A&A...543A..95R,2400.0,2014A&A...565A..27H,5.00e-06,2014A&A...565A..27H,False,None,False,,,,,
SK -68 16,SK -68 16,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-68+16,Mid O Giant,Gaia DR3 4661517092314718208,74.407481452267277,-68.409977899630888,2016.0,LMC,LH 12,O7 III,2000AJ....119.2214M,O,7.0,III,12.970497,12.883843,13.114115,0.013307,0.023434,11.68,2002ApJS..141...81M,12.66,2002ApJS..141...81M,12.85,2002ApJS..141...81M,-0.27,2006A&A...457..637M,0.08,Derived from (B-V)0,,None,,None,,None,,None,,None,,None,100.0,2009ApJ...700..844P,,None,,None,False,None,False,,,,,
SK -69 52,SK -69 52,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-69+52,Early B Supergiant,Gaia DR3 4655146831194631680,74.453783093432946,-69.872916788672001,2016.0,LMC,None,B2 Ia,1988ApJ...335..703F,B,2.0,I,11.494659,11.463645,11.508965,0.043639,0.019769,10.73,1972A&AS....6..249A,11.55,1972A&AS....6..249A,11.50,1972A&AS....6..249A,-0.17,1970A&A.....4..234F,0.22,Derived from (B-V)0,246.0,1972A&AS....6..249A,,None,,None,,None,,None,,None,105.0,2009ApJ...700..844P,,None,,None,False,None,False,,,,,
SK -70 32,SK -70 32,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-70+32,Late O Bright Giant,Gaia DR3 4655068250461327488,75.042543128460466,-70.185951834292936,2016.0,LMC,None,O9.5 II:,1988ApJ...335..703F,O,9.5,II,12.999539,12.888867,13.189598,-0.029292,0.022086,11.84,2002ApJS..141...81M,12.85,2002ApJS..141...81M,13.06,2002ApJS..141...81M,-0.26,2006A&A...457..637M,0.05,Derived from (B-V)0,256.0,1982A&AS...48..409F,,None,,None,,None,,None,,None,97.0,2009ApJ...700..844P,,None,,None,False,None,False,,,,,
SK -68 23a,SK -68 23A,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-68+23A,Early B Giant,Gaia DR3 4661364225871120128,75.201232365136548,-68.099572209955269,2016.0,LMC,None,B1 III,1995ApJ...438..188M,B,1.0,III,13.023113,12.974600,13.083368,-0.014994,0.018639,12.03,2002ApJS..141...81M,12.97,2002ApJS..141...81M,13.05,2002ApJS..141...81M,-0.26,1970A&A.....4..234F,0.18,Derived from (B-V)0,,None,,None,,None,,None,,None,,None,,None,,None,,None,False,None,False,,,,,
SK -65 22,SK -65 22,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-65+22,Mid O Supergiant,Gaia DR3 4662240708409788928,75.346170786191308,-65.875890748986976,2016.0,LMC,None,O6 Iaf+,1977ApJ...215...53W,O,6.0,I,11.993413,11.903799,12.136445,-0.022696,0.032784,10.85,1979A&AS...38..239I,11.88,1979A&AS...38..239I,12.07,1979A&AS...38..239I,-0.27,2006A&A...457..637M,0.07,2002ApJ...579..774C,225.0,1973A&AS....9..447B,33500.0,2002ApJ...579..774C,3.20,2002ApJ...579..774C,5.86,2002ApJ...579..774C,25.0,2002ApJ...579..774C,,None,90.0,2002ApJ...579..774C,1520.0,2002ApJ...579..774C,1.10e-05,2002ApJ...579..774C,False,None,False,,,,,
SK -68 26,SK -68 26,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-68+26,Early B Supergiant,Gaia DR3 4661359346788463616,75.384376221305374,-68.178593734128555,2016.0,LMC,None,BC2 Ia,1991PASP..103.1123F,B,2.0,I,11.635279,11.687576,11.497284,-0.049091,0.017601,10.98,1999MNRAS.306..279S,11.75,1999MNRAS.306..279S,11.64,1999MNRAS.306..279S,-0.17,1970A&A.....4..234F,0.28,Derived from (B-V)0,344.0,1982A&AS...48..409F,18160.0,2017AJ....154..102U,2.19,2017AJ....154..102U,,None,,None,,None,,None,,None,,None,False,None,False,,,,,
SK -66 50,SK -66 50,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-66+50,Late B Supergiant,Gaia DR3 4661891544744628352,75.786753453994052,-66.959680682730493,2016.0,LMC,None,B8 Ia+,1991PASP..103.1123F,B,8.0,I,10.558612,10.563260,10.507683,0.013012,0.019462,9.98,1972A&AS....6..249A,10.65,1972A&AS....6..249A,10.63,1972A&AS....6..249A,-0.01,1970A&A.....4..234F,0.03,Derived from (B-V)0,298.1,2023A&A...676A..85S,11900.0,2017AJ....154..102U,1.49,2017AJ....154..102U,,None,,None,,None,,None,,None,,None,False,None,False,,,,,
SK -66 51,SK -66 51,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-66+51,Mid WN Star,Gaia DR3 4662107598784242432,75.787155618453284,-66.682635754507317,2016.0,LMC,None,WN 7h,2008MNRAS.389..806S,WN,7,None,12.501509,12.481859,12.478020,-0.000480,0.023483,11.57,1999MNRAS.306..279S,12.51,1999MNRAS.306..279S,12.71,1999MNRAS.306..279S,,None,0.09,2014A&A...565A..27H,330.0,2008MNRAS.389..806S,50000.0,2014A&A...565A..27H,,None,5.80,2014A&A...565A..27H,10.6,2014A&A...565A..27H,42.0,2014A&A...565A..27H,,None,1000.0,2014A&A...565A..27H,2.30e-05,2014A&A...565A..27H,False,None,True,,,,,
SK -70 50,SK -70 50,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-70+50,Early B Supergiant,Gaia DR3 4655076840397213056,75.941219399521316,-70.199301346710584,2016.0,LMC,None,B3 Ia,1991PASP..103.1123F,B,3.0,I,11.211161,11.185568,11.217110,0.034093,0.019226,10.45,1972A&AS....6..249A,11.16,1972A&AS....6..249A,11.20,1972A&AS....6..249A,-0.13,1970A&A.....4..234F,0.09,Derived from (B-V)0,236.0,1972A&AS....6..249A,,None,,None,,None,,None,,None,,None,,None,,None,False,None,False,,,,,
NGC 1818 ROB D1,Cl* NGC 1818 ROB D1,https://simbad.u-strasbg.fr/simbad/sim-id?Ident= Cl*+NGC+1818+ROB+D1,Early B Dwarf,Gaia DR3 4662022695879506176,76.134639178467253,-66.413210356561052,2016.0,LMC,NGC 1818,B1 V,None,B,1,V,14.995990,14.883718,15.144922,0.245012,0.213122,,None,14.80,1974A&AS...15..261R,14.93,1974A&AS...15..261R,-0.26,1970A&A.....4..234F,0.13,Derived from (B-V)0,,None,24700.0,2000A&A...353..655K,4.00,2000A&A...353..655K,,None,,None,,None,30.0,2000A&A...353..655K,,None,,None,False,None,True,,,,,
LMC277-2,[MNM2014] LMC277-2,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=[MNM2014]+LMC277-2,WN Binary,Gaia DR3 4661447032822487680,76.136003936659321,-68.016507822457186,2016.0,LMC,None,WN3/O3,2017ApJ...841...20N,WN,3,None,15.776251,15.679577,15.954607,-0.026816,0.034423,14.80,2004AJ....128.1606Z,15.67,2004AJ....128.1606Z,15.83,2004AJ....128.1606Z,,None,0.13,2017ApJ...841...20N,,None,100000.0,2017ApJ...841...20N,4.95,2017ApJ...841...20N,5.80,2017ApJ...841...20N,2.5,2017ApJ...841...20N,19.0,2017ApJ...841...20N,,None,,None,1.40e-06,2017ApJ...841...20N,False,None,True,,,,,
