target_name_std,target_name_simbad,simbad_link,target_classification,gaia_dr2_id,targ_ra,targ_dec,coordinate_epoch,host_galaxy_name,host_cluster_name,spectral_type,spectral_type_ref,sp_class,temp_class,lum_class,u_mag,u_mag_ref,b_mag,b_mag_ref,v_mag,v_mag_ref,bmv0_mag,bmv0_mag_ref,extinction_ebmv,extinction_ebmv_ref,star_teff,star_teff_ref,surface_gravity,surface_gravity_ref,star_luminosity,star_luminosity_ref,star_radius,star_radius_ref,star_mass,star_mass_ref,rotation_velocity,rotation_velocity_ref,terminal_velocity,terminal_velocity_ref,rate_massloss,rate_massloss_ref,known_binary,known_binary_ref
SK -71 41,SK -71 41,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-71+41,Late O Supergiant,Gaia DR2 4651834994760055040,82.66732114,-71.09363287,2015.5,LMC,None,O9.7 Iab,2018A&A...615A..40R,O,9.7,I,11.78,2002ApJS..141...81M,12.75,2002ApJS..141...81M,12.82,2002ApJS..141...81M,-0.26,2006A&A...457..637M,0.16,2018A&A...615A..40R,30000,2018A&A...615A..40R,3.4,2018A&A...615A..40R,5.5,2018A&A...615A..40R,20.9,2018A&A...615A..40R,40,2018A&A...615A..40R,90,2018A&A...615A..40R,1800,2018A&A...615A..40R,8.10E-07,2018A&A...615A..40R,FALSE,None
NGC2004 ELS 3,Cl* NGC 2004 ELS 3,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=Cl*+NGC+2004+ELS+3,Mid B Supergiant,Gaia DR2 4660181151347435008,82.66838069,-67.26914855,2015.5,LMC,NGC 2004,B5 Ia,2006A&A...456..623E,B,5,I,11.26,1999MNRAS.306..279S,11.97,1999MNRAS.306..279S,12.05,1999MNRAS.306..279S,-0.09,1970A&A.....4..234F,0.01,Derived from (B-V)0,14450,2007A&A...471..625T,2.1,2007A&A...471..625T,5.1,2007A&A...471..625T,56.7,"Derived from L,Teff",20,2007A&A...471..625T,42,2007A&A...471..625T,,None,,None,FALSE,None
BI 189,BI 189,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=BI+189,Late O Subgiant,Gaia DR2 4651835342686727296,82.7399293,-71.05938698,2015.5,LMC,None,O8 IV((f))e,2018A&A...609A...7R,O,8,IV,12.45,2002ApJS..141...81M,13.39,2002ApJS..141...81M,13.45,2002ApJS..141...81M,-0.27,2006A&A...457..637M,0.21,Derived from (B-V)0,34000,2018A&A...609A...7R,3.8,2018A&A...609A...7R,5.6,2018A&A...609A...7R,18.2,2018A&A...609A...7R,77,2018A&A...609A...7R,83,2018A&A...609A...7R,2100,2018A&A...609A...7R,9.30E-07,2018A&A...609A...7R,FALSE,None
N206-FS 170,[RHH2018] 170,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=[RHH2018]+170,Early B Subgiant,Gaia DR2 4657849288998781440,82.7624923,-70.83234966,2015.5,LMC,None,B1 IV,2018A&A...615A..40R,B,1,IV,13.63,2004AJ....128.1606Z,14.22,2004AJ....128.1606Z,14.39,2004AJ....128.1606Z,-0.26,1970A&A.....4..234F,0.09,Derived from (B-V)0,24000,2018A&A...615A..40R,3.8,2018A&A...615A..40R,4.55,2018A&A...615A..40R,10.9,2018A&A...615A..40R,28,2018A&A...615A..40R,80,2018A&A...615A..40R,2100,2018A&A...615A..40R,2.00E-08,2018A&A...615A..40R,FALSE,None
SK -71 45,SK -71 45,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-71+45,Early O Giant,Gaia DR2 4651834616802932608,82.81539769,-71.06944375,2015.5,LMC,None,O4-5 III(f),1977ApJ...215...53W,O,4,III,10.41,1999MNRAS.306..279S,11.43,1999MNRAS.306..279S,11.57,1999MNRAS.306..279S,-0.28,2006A&A...457..637M,0.14,Derived from (B-V)0,38000,2018A&A...609A...7R,3.6,2018A&A...609A...7R,6.28,2018A&A...609A...7R,31.9,2018A&A...609A...7R,148,2018A&A...609A...7R,116,2018A&A...609A...7R,2300,2018A&A...609A...7R,1.60E-05,2018A&A...609A...7R,FALSE,None
SK -67 166,SK -67 166,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-67+166,Early O Supergiant,Gaia DR2 4660121743354291328,82.93421985,-67.63371366,2015.5,LMC,LH 76,O4 If+,1977ApJ...215...53W,O,4,I,11.04,1972A&AS....6..249A,12.05,1972A&AS....6..249A,12.27,1972A&AS....6..249A,-0.28,2006A&A...457..637M,0.06,Derived from (B-V)0,40000,2002ApJ...579..774C,3.6,2002ApJ...579..774C,5.98,2002ApJ...579..774C,20.5,2002ApJ...579..774C,,None,97,2009ApJ...700..844P,1750,2002ApJ...579..774C,8.50E-06,2002ApJ...579..774C,FALSE,None
SK -71 46,SK -71 46,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-71+46,Early O Supergiant,Gaia DR2 4651840290490730368,82.95664488,-71.06057137,2015.5,LMC,None,O4 If,1995ApJ...438..188M,O,4,I,12.37,1995ApJ...438..188M,13.26,1995ApJ...438..188M,13.27,1995ApJ...438..188M,-0.28,2006A&A...457..637M,0.27,Derived from (B-V)0,38000,2018A&A...609A...7R,3.6,2018A&A...609A...7R,6.1,2018A&A...609A...7R,26,2018A&A...609A...7R,98,2018A&A...609A...7R,98,2018A&A...609A...7R,2300,2018A&A...609A...7R,1.20E-05,2018A&A...609A...7R,TRUE,2011AcA....61..103G
SK -67 167,SK -67 167,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-67+167,Early O Supergiant,Gaia DR2 4658617538387641216,82.96631828,-67.66148962,2015.5,LMC,LH 76,O4 Inf+,1987PASP...99..240G,O,4,I,11.24,2002ApJS..141...81M,12.31,2002ApJS..141...81M,12.53,2002ApJS..141...81M,-0.28,2006A&A...457..637M,0.06,Derived from (B-V)0,,None,,None,,None,,None,,None,155,2009ApJ...700..844P,2200,2003ApJ...586..996M,,None,FALSE,None
SK -67 168,SK -67 168,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-67+168,Late O Supergiant,Gaia DR2 4660122396189307648,82.96718273,-67.57243321,2015.5,LMC,None,O8 I(f)p,2010AJ....139.1283W,O,8,I,10.91,1975A&AS...19..259I,11.91,1975A&AS...19..259I,12.08,1975A&AS...19..259I,-0.27,2006A&A...457..637M,0.1,Derived from (B-V)0,,None,,None,,None,,None,,None,,None,,None,,None,FALSE,None
SK -69 178,SK -69 178,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-69+178,Late O Bright Giant,Gaia DR2 4658030747143470080,82.97479385,-69.55840794,2015.5,LMC,None,O9.2 II,2015A&A...584A...5E,O,9.2,II,12.13,2004AJ....128.1606Z,13.17,2004AJ....128.1606Z,13.26,2004AJ....128.1606Z,-0.26,2006A&A...457..637M,0.17,Derived from (B-V)0,,None,,None,,None,,None,,None,,None,,None,,None,FALSE,None
LMC X-4,X LMC X-4,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=X+LMC+X-4,Late O Subgiant,Gaia DR2 4660300345280168192,83.20650054,-66.37033237,2015.5,LMC,None,O8 III,2002A&A...385..517N,O,8,III,,None,13.94,2004AJ....128.1606Z,14.17,2004AJ....128.1606Z,-0.27,2006A&A...457..637M,0.04,Derived from (B-V)0,,None,,None,,None,,None,,None,,None,,None,,None,TRUE,1978ApJ...225..585H
SK -67 191,SK -67 191,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-67+191,Late O Dwarf,Gaia DR2 4660114940125360000,83.39175071,-67.5054816,2015.5,LMC,None,O8 V,1986AJ.....92...48C,O,8,V,12.21,1979A&AS...38..239I,13.25,1979A&AS...38..239I,13.46,1979A&AS...38..239I,-0.27,2006A&A...457..637M,0.06,Derived from (B-V)0,,None,,None,,None,,None,,None,100,2009ApJ...700..844P,1950,2003ApJ...586..996M,,None,FALSE,None
SK -67 195,SK -67 195,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-67+195,Mid B Supergiant,Gaia DR2 4660161841172790528,83.46637708,-67.13390496,2015.5,LMC,None,B6 I,1978A&AS...31..243R,B,6,I,12.21,2002ApJS..141...81M,12.82,2002ApJS..141...81M,12.84,2002ApJS..141...81M,-0.07,1970A&A.....4..234F,0.05,Derived from (B-V)0,,None,,None,,None,,None,,None,,None,,None,,None,FALSE,None
