targets,RA,DEC,AR_targets,SpT,E(B-V),U,archival exptime,flux1150,flux1200,flux1520,Settings,ETC_FUV_file,ETC_NUV_file
Sk -70 55|[M2002] 62266,5h04m08.48s,-70d15m45.9s,,B0.5 I,0.09,11.56,,nan,nan,nan,,Model,Model
Sk -70 54|[M2002] 62470,5h04m12.5s,-70d03m55.5s,BR14,WN4o,nan,13.42,6839,nan,2.69E-13,1.59E-13,SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_62470.0/swp33458/swp33458.mxlo.gz|downloaded/LMC/IUE/[M2002]_62470.0/swp33458/swp33458mxlo_vo.fits,Model
Sk -70 57|[M2002] 62592,5h04m14.81s,-70d37m06.4s,,O7.5 III,0.09,12.14,,nan,nan,nan,,Model,Model
Sk -70 60|[M2002] 64006,5h04m40.88s,-70d15m34.7s,SK-70D60,O4 V,0.12,12.63,7912,5.78E-13,nan,nan,FUSE/1045,Model,Model
Sk -70 64|[M2002] 65479,5h05m08.49s,-70d22m45.5s,,WN4(h),nan,13.59,,nan,nan,nan,,Model,Model
Sk -70 65|[M2002] 65609,5h05m11.18s,-70d26m14.7s,,B0 III,0.18,12.51,,nan,nan,nan,,Model,Model
Sk -70 69|[M2002] 65981,5h05m18.69s,-70d25m50.3s,SK-70D69|SK-70D69|SK-70D69|NS 69-70|NS 69-70,O4 V,0.05,12.63,177479|70558| 6117| 1859| 2340,nan,nan,nan,FUSE/1045|LWP/LWP/2599|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_65981.0/swp30109/swp30109.mxlo.gz|downloaded/LMC/IUE/[M2002]_65981.0/swp30109/swp30109mxlo_vo.fits,downloaded/LMC/IUE/[M2002]_65981.0/lwp09940/lwp09940.mxlo.gz|downloaded/LMC/IUE/[M2002]_65981.0/lwp09940/lwp09940mxlo_vo.fits
Sk -70 70|[M2002] 66299,5h05m24.72s,-70d27m40.9s,,O6 IIIf,0.14,12.49,,nan,nan,nan,,Model,Model
Sk -70 77|[M2002] 68093,5h05m58.81s,-70d16m09.5s,,B8 I,0.03,12.53,,nan,nan,nan,,Model,Model
Sk -68 48|[M2002] 69520,5h06m27.52s,-68d30m40.6s,S80/LMC|S80/LMC,B8 Ie,0.27,11.9,1797|14401,nan,2.63E-14,7.31E-14,LWP/LWP/2599|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_69520.0/swp36703/swp36703.mxlo.gz|downloaded/LMC/IUE/[M2002]_69520.0/swp36703/swp36703mxlo_vo.fits,downloaded/LMC/IUE/[M2002]_69520.0/lwp15957/lwp15957.mxlo.gz|downloaded/LMC/IUE/[M2002]_69520.0/lwp15957/lwp15957mxlo_vo.fits
Sk -70 79|[M2002] 69992,5h06m37.24s,-70d29m24.4s,Sk-7079|SK 79-70|SK-7079|SK-7079|SK 79-70,B0 III,0.24,11.7,39241| 2279| 7595| 5040| 2400,5.35E-13,6.89E-14,4.03E-13,FUSE/1045|LWP/LWP/2599|STIS/FUV-MAMA/E140M/1425|STIS/NUV-MAMA/E230M/1987|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_69992.0/swp25896/swp25896.mxlo.gz|downloaded/LMC/IUE/[M2002]_69992.0/swp25896/swp25896mxlo_vo.fits,downloaded/LMC/IUE/[M2002]_69992.0/lwp05942/lwp05942.mxlo.gz|downloaded/LMC/IUE/[M2002]_69992.0/lwp05942/lwp05942mxlo_vo.fits
BI 78|[M2002] 70381,5h06m45.68s,-70d24m20.3s,,B1 Ib,0.06,12.67,,nan,nan,nan,,Model,Model
Sk -69 63|[M2002] 70643,5h06m50.48s,-69d55m09.4s,,B6 I,0.04,12.52,,nan,nan,nan,,Model,Model
Sk -70 81|[M2002] 77462,5h08m55.59s,-70d03m58.6s,,B8 I,0.02,12.41,,nan,nan,nan,,Model,Model
Sk -69 66|[M2002] 77560,5h08m56.71s,-69d57m25.7s,,B8 I,0.01,12.72,,nan,nan,nan,,Model,Model
