Dataset,Target Name,RA (J2000),Dec (J2000),Ref,Start Time,Stop Time,Exp Time,Instrument,Apertures,Filters/Gratings,Central Wavelength,Proposal ID,Release Date,Preview Name
LEC106020,HD-36156,80.79194951,-71.34745504,0,2021-05-12T07:27:33.360000,2021-05-12T07:34:26.350000,50.432,COS   ,PSA,G130M,1291,16272,2021-11-12T18:48:32,LEC106020
LEC106030,HD-36156,80.79194951,-71.34745504,0,2021-05-12T07:38:29.360000,2021-05-12T07:53:04.337000,416.064,COS   ,PSA,G160M,1623,16272,2021-11-12T19:48:43,LEC106030
LE2707010,LMCE159-1,81.23704167,-66.44569444,0,2020-06-22T09:33:49.213000,2020-06-22T10:17:46.207000,2208.032,COS   ,PSA,G160M,1577,15824,2020-12-22T12:43:57,LE2707010
LE2705010,LMC199-1,82.113,-69.11005556,0,2020-07-26T20:41:10.203000,2020-07-26T21:24:59.213000,2200.064,COS   ,PSA,G160M,1577,15824,2021-01-26T23:47:47,LE2705010
LE2702010,LMC170-2,82.32575,-69.32866667,0,2020-06-16T09:07:28.220000,2020-06-16T09:51:25.213000,2208.096,COS   ,PSA,G160M,1577,15824,2020-12-16T16:39:15,LE2702010
LCIY02010,LMC170-2,82.32557917,-69.32861944,1,2014-12-09T08:08:09.240000,2014-12-09T09:17:00.257000,2388.096,COS   ,PSA,G140L,1105,13780,2015-12-09T13:42:37,LCIY02010
LCIY02020,LMC170-2,82.32557917,-69.32861944,1,2014-12-09T10:17:36.377000,2014-12-09T12:19:19.367000,2856.8,COS   ,PSA,G140L,1280,13780,2015-12-09T16:53:15,LCIY02020
LCIY02ILQ,LMC170-2,82.32557917,-69.32861944,1,2014-12-09T07:13:32.870000,2014-12-09T07:40:12.870000,1600,COS   ,PSA,G140L,1105,13780,2015-12-09T13:31:01,
LEC158010,HD-37026,82.55070672,-67.43564337,0,2022-05-26T08:55:10.793000,2022-05-26T09:09:09.760000,380.064,COS   ,PSA,G130M,1222,16272,2022-11-26T14:10:12,LEC158010
LEC158020,HD-37026,82.55070672,-67.43564337,0,2022-05-26T09:13:17.767000,2022-05-26T09:21:27.760000,290.048,COS   ,PSA,G130M,1291,16272,2022-11-26T14:09:40,LEC158020
LEC158030,HD-37026,82.55070672,-67.43564337,0,2022-05-26T09:26:54.760000,2022-05-26T09:40:56.793000,440.096,COS   ,PSA,G160M,1623,16272,2022-11-26T14:10:50,LEC158030
LEC109010,HD-37248,82.6612625,-71.02994444,0,2021-04-26T02:47:42.350000,2021-04-26T03:05:31.343000,384.96,COS   ,PSA,G130M,1222,16272,2021-10-26T04:07:00,LEC109010
LEC109020,HD-37248,82.6612625,-71.02994444,0,2021-04-26T03:09:22.350000,2021-04-26T03:16:05.343000,166.4,COS   ,PSA,G130M,1291,16272,2021-10-26T04:04:16,LEC109020
LEC109030,HD-37248,82.6612625,-71.02994444,0,2021-04-26T03:20:27.343000,2021-04-26T03:32:52.337000,269.248,COS   ,PSA,G160M,1623,16272,2021-10-26T04:07:00,LEC109030
LEZQ02010,MLD95-LMC-1-546,82.84911552,-71.07018238,0,2023-02-07T06:05:58.333000,2023-02-07T06:37:58.423000,1404.032,COS   ,PSA,G160M,1611,17074,2023-08-07T10:49:52,LEZQ02010
LEZQ02020,MLD95-LMC-1-546,82.84911552,-71.07018238,0,2023-02-07T06:42:59.453000,2023-02-07T07:39:03.357000,778.016,COS   ,PSA,G130M,1291,17074,2023-08-07T10:48:48,LEZQ02020
LEZQ02030,MLD95-LMC-1-546,82.84911552,-71.07018238,0,2023-02-07T07:43:41.343000,2023-02-07T08:24:44.350000,1920.032,COS   ,PSA,G130M,1096,17074,2023-08-07T10:48:58,LEZQ02030
LEC111010,HD-269818,83.9312552,-69.18278243,0,2021-01-07T03:59:34.807000,2021-01-07T04:12:09.797000,439.968,COS   ,PSA,G130M,1222,16272,2021-07-07T05:34:18,LEC111010
LEC111020,HD-269818,83.9312552,-69.18278243,0,2021-01-07T04:15:22.807000,2021-01-07T04:22:27.797000,320.032,COS   ,PSA,G130M,1291,16272,2021-07-07T05:32:16,LEC111020
LEC111030,HD-269818,83.9312552,-69.18278243,0,2021-01-07T04:26:11.797000,2021-01-07T04:45:26.823000,840.032,COS   ,PSA,G160M,1623,16272,2021-07-07T14:55:04,LEC111030
LE2703010,LMC172-1,83.75375,-69.35561111,0,2020-08-06T03:51:43.230000,2020-08-06T05:35:51.197000,2208.064,COS   ,PSA,G160M,1577,15824,2021-02-06T14:00:04,LE2703010
LEC113010,BREY-70,84.37191338,-69.34654624,0,2021-04-27T04:29:01.457000,2021-04-27T04:40:57.440000,344.064,COS   ,PSA,G130M,1222,16272,2021-10-27T09:56:18,LEC113010
LEC113020,BREY-70,84.37191338,-69.34654624,0,2021-04-27T04:44:29.457000,2021-04-27T04:52:23.440000,312.032,COS   ,PSA,G130M,1291,16272,2021-10-27T10:36:10,LEC113020
LEC113030,BREY-70,84.37191338,-69.34654624,0,2021-04-27T04:57:04.337000,2021-04-27T06:16:18.350000,624.064,COS   ,PSA,G160M,1623,16272,2021-10-27T10:38:04,LEC113030
#LEC122010,BREY-70A,84.39879351,-69.14450986,0,2021-08-24T20:33:57.010000,2021-08-24T20:42:56.017000,223.776,COS   ,PSA,G130M,1222,16272,2022-02-25T05:12:31,LEC122010
LEC122020,BREY-70A,84.39879351,-69.14450986,0,2021-08-24T21:05:31.027000,2021-08-24T22:21:50.027000,1902.336,COS   ,PSA,G130M,1291,16272,2022-02-25T05:11:49,LEC122020
LEC122030,BREY-70A,84.39879351,-69.14450986,0,2021-08-24T22:40:41.010000,2021-08-25T00:27:06.017000,2712.416,COS   ,PSA,G160M,1623,16272,2022-02-25T05:14:00,LEC122030
LCUT01010,VFTS-102,84.41349867,-69.16420614,2,2017-01-01T18:25:06.017000,2017-01-01T20:11:17,2259.968,COS   ,PSA,G130M,1309,14246,2018-01-01T23:21:22,LCUT01010
LCUT01020,VFTS-102,84.41349867,-69.16420614,2,2017-01-01T20:15:31.007000,2017-01-01T22:04:41,2724.768,COS   ,PSA,G130M,1300,14246,2018-01-01T23:23:05,LCUT01020
LCUT01030,VFTS-102,84.41349867,-69.16420614,2,2017-01-01T22:29:24.993000,2017-01-01T23:23:52.007000,2724.736,COS   ,PSA,G130M,1318,14246,2018-01-02T02:21:21,LCUT01030
LEC115010,HD-269888,84.43600841,-69.24046283,0,2021-12-03T22:30:54.423000,2021-12-04T00:04:40.417000,1588,COS   ,PSA,G130M,1222,16272,2022-06-04T06:25:16,LEC115010
LEC115020,HD-269888,84.43600841,-69.24046283,0,2021-12-04T00:08:10.390000,2021-12-04T00:18:19.407000,494.016,COS   ,PSA,G130M,1291,16272,2022-06-04T06:23:10,LEC115020
