Target,Target_LINK,RA(J2000),DEC(J2000),Sk,HD,M2002,VFTS,Alias,SpT,E(B-V),B,V,v sin i,COS,STIS,ORB,FUSE,COS G130M 1096,G130M 1291,COS G160M 1611,COS G185M 1953,COS G185M 1986,STIS E140M 1425,STIS E230M 1978,STIS E230M 2707,Modes To Be Observed,Archival UV Modes,Other AR Modes,VLT,ULL
SK -71 46,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-71+46&submit=submit+id""> SK -71 46</a>",05h31m49.5948s,-71d03m38.0569s,-71 46,,,,[N206-FS]_214,O4 If,0.19,13.15,13.24,79,2,0,2,F,,p,p,,,,,,COS/G130M/1291-COS/G160M/1611,FUSE,VLT/GIRAFFE,g,1
SK -67 167,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-67+167&submit=submit+id""> SK -67 167</a>",05h31m51.9164s,-67d39m41.3626s,-67 167,,152366,,[M2002]_152366,O4 Inf+,0.06,12.31,12.53,155,0,1,1,F,,,,,,p,,,STIS/E140M,FUSE,,,1
SK -65 47,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-65+47&submit=submit+id""> SK -65 47</a>",05h20m54.7236s,-65d27m17.8766s,-65 47,,,,,O4 If,0.15,12.55,12.68,208,0,0,0,F,,,,,,a,,,,FUSE-STIS/E140M/1425,VLT/UVES,u,2
SK -67 69,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-67+69&submit=submit+id""> SK -67 69</a>",05h14m20.0773s,-67d08m03.1709s,-67 69,,,,,O4 III(f),0.12,12.93,13.09,121,0,2,2,F,,,,,,p,,,STIS/E140M,FUSE,,,1
Farina  88,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=[FBM2009]+88&submit=submit+id""> Farina  88</a>",05h40m08.2221s,-69d39m17.2503s,,,,,[FBM2009]_88|[AAOmega]_364,O4 III(f),0.21,13.56,13.63,,1,0,1,,,p,p,,,,,,COS/G130M/1291-COS/G160M/1611,,,,1
SK -71 45,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-71+45&submit=submit+id""> SK -71 45</a>",05h31m15.6542s,-71d04m09.6924s,-71 45,269676,,,,O4-5 III(f),0.09,11.32,11.51,121,1,0,1,F,p,,,ao,,a,a,,COS/G130M/1096,FUSE-STIS/E140M/1425-STIS/E230M/1978,VLT/GIRAFFE,g,1
SK -67 108,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-67+108&submit=submit+id""> SK -67 108</a>",05h26m26.4677s,-67d37m20.4519s,-67 108,,135697,,[M2002]_135697,O4-5 III,0.08,12.37,12.57,,0,2,2,F,,,,,,p,,,STIS/E140M,FUSE,,,1
W61 28-5,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=W61+28-5&submit=submit+id""> W61 28-5</a>",05h34m28.4703s,-69d43m56.8269s,,,,,W61_28-5,O4 V((f+)),0.1,13.74,13.92,120,3,0,3,,p,p,p,,,,,,COS/G130M/1096-COS/G130M/1291-COS/G160M/1611,,,,1
VFTS 355,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=VFTS+355&submit=submit+id""> VFTS 355</a>",05h38m29.1512s,-68d57m39.3165s,,,,355,VFTS_355,O4 V((n))((fc))z,0.09,13.93,14.12,134,2,0,2,,p,p,p,,,,,,COS/G130M/1096-COS/G130M/1291-COS/G160M/1611,,VLT/GIRAFFE,g,1
VFTS 586,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=VFTS+586&submit=submit+id""> VFTS 586</a>",05h38m45.3952s,-69d02m51.4384s,,,,586,VFTS_586,O4 V((n))((fc))z,0.16,14.92,15.04,97,2,0,2,,,p,p,,,,,,COS/G130M/1291-COS/G160M/1611,,VLT/GIRAFFE,g,1
SK -70 60,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-70+60&submit=submit+id""> SK -70 60</a>",05h04m40.7842s,-70d15m34.4993s,-70 60,,64006,,[M2002]_64006,O4-5V:n,0.12,13.72,13.88,256,0,4,4,F,,,,,,p,,,STIS/E140M,FUSE,VLT/UVES,u,1
