target_name_ullyses,target_name_simbad,target_classification,simbad_link,targ_ra,targ_dec,coordinate_epoch,source_catalog,host_galaxy_name,host_cluster_name,d_gaia,d_gaia_err,spectral_type,spectral_type_ref,temp_class,lum_class,star_teff,star_teff_ref,star_luminosity,star_luminosity_ref,star_mass,star_mass_ref,surface_gravity,surface_gravity_ref,rotation_period,rotation_period_ref,rotation_velocity,rotation_velocity_ref,terminal_velocity,terminal_velocity_ref,radius,radius_ref,rate_accretion,rate_accretion_ref,extinction_ebmv,extinction_ebmv_ref,age,age_ref,metallicity,metallicity_ref,fuv_mag,nuv_mag,u_mag,u_mag_ref,b_mag,b_mag_ref,v_mag,v_mag_ref,i_mag,i_mag_ref,gaia_id,gaia_parallax,gaia_parallax_err,known_binary,known_binary_ref,is_variable,is_monitor_targ,extended,Extra,radial_velocity,radial_velocity_ref
DG Tau,V* DG Tau,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=DG+Tau,66.76957782,26.10437015,2016,2022A&A...667A.124G,MW,Taurus,,,K7,2022A&A...667A.124G,,,4004,2022A&A...667A.124G,-0.36,2022A&A...667A.124G,0.7,2022A&A...667A.124G,,,,,,,,,1.38,2022A&A...667A.124G,-7.35,2022A&A...667A.124G,0.48,2022A&A...667A.124G,,,,,,,13.57,none,13.97,none,10.5,none,,,GAIA DR3 151262700852297728,7.983639611,0.118209854,FALSE,none,TRUE,FALSE,FALSE,TRUE,15.4,2012ApJ...745..119N
SU Aur,V* SU Aur,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=SU+Aur,73.99746613,30.56697521,2016,2022A&A...667A.124G,MW,Taurus-Auriga,,,G5,2022A&A...667A.124G,,,5414,2022A&A...667A.124G,0.95,2022A&A...667A.124G,2.22,2022A&A...667A.124G,,,,,,,,,3.38,2022A&A...667A.124G,-7.76,2022A&A...667A.124G,0.29,2022A&A...667A.124G,,,,,,,,,10.33,none,9.3,none,,,GAIA DR3 157010573981545344,6.370007441,0.030324647,FALSE,none,TRUE,FALSE,FALSE,TRUE,14.3,2012ApJ...745..119N
V410 Tau,V* V410 Tau,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=V410+Tau,64.62966193,28.45437608,2016,2010MNRAS.403..159S,MW,Taurus,,,,,,,4500,2010MNRAS.403..159S,,,1.4,2010MNRAS.403..159S,,,,,,,,,3,2010MNRAS.403..159S,,,,,1.2,2010MNRAS.403..159S,,,,,,,12.13,none,10.75,none,9.41,none,GAIA DR3 164518589131083136,7.730281963,0.021211926,FALSE,none,TRUE,FALSE,FALSE,TRUE,21.6,2020AJ....160..120J
HD 141569,HD 141569,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=HD+141569,237.4905401,-3.921290953,2016,2020MNRAS.493..234W,MW,other,,,A0Ve,2020MNRAS.493..234W,,,9500,2020MNRAS.493..234W,1.34,2020MNRAS.493..234W,2.06,2020MNRAS.493..234W,4.2,2020MNRAS.493..234W,,,,,,,1.74,2020MNRAS.493..234W,-7.35,2020MNRAS.493..234W,0.12,2020MNRAS.493..234W,5.89,2020MNRAS.493..234W,,,,,7.22,none,7.23,2020MNRAS.493..234W,7.13,2020MNRAS.493..234W,7.04,none,GAIA DR3 4399438153527026176 ,8.95967478,0.029310701,FALSE,none,TRUE,FALSE,FALSE,TRUE,3.5,2020AJ....160...82S
HD 142666,HD 142666,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=HD+142666,239.166697,-22.02787762,2016,2020MNRAS.493..234W,MW,other,,,A8Ve,2020MNRAS.493..234W,,,7250,2020MNRAS.493..234W,1.08,2020MNRAS.493..234W,1.64,2020MNRAS.493..234W,4,2020MNRAS.493..234W,,,,,,,2.21,2020MNRAS.493..234W,-7.24,2020MNRAS.493..234W,0.26,2020MNRAS.493..234W,7.76,2020MNRAS.493..234W,,,,,9.41,none,9.37,none,8.82,none,8.01,none,GAIA DR3 6243489715051060480,6.837516101,0.02167074,FALSE,none,TRUE,FALSE,FALSE,TRUE,-5.4,2023ApJS..265...12Q
PDS 70,PDS 70,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=PDS+70,212.0421347,-41.39804388,2016,2020AJ....159..222H,MW,Upper Scorpius,,,K7,2018A&A...617A..44K,,,3972,2018A&A...617A..44K,-0.46,2018A&A...617A..44K,0.76,2018A&A...617A..44K,,,,,,,,,1.26,2018A&A...617A..44K,-9.88,2020ApJ...892...81T,0.02,2018A&A...617A..44K,5.4,2018A&A...617A..44K,,,,,,,13.42,none,12.18,none,10.51,none,GAIA DR3 6110141563309613056,8.897475007,0.019064352,FALSE,none,TRUE,FALSE,FALSE,TRUE,3.9,2020AJ....160...82S
T Cha,V* T cha,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=T+Cha,179.3053512,-79.35879694,2016,2019MNRAS.484.4315C,MW,eps Cha,,,G8,2019MNRAS.484.4315C,,,,,,,1.3,2019MNRAS.484.4315C,,,,,,,,,1.8,2019MNRAS.484.4315C,-8.4,2019MNRAS.484.4315C,0.55,2019MNRAS.484.4315C,7,2019MNRAS.484.4315C,,,,,,,10,none,11.86,none,,,GAIA DR3 5199981334076455680,9.735605696,0.033161,TRUE,2019MNRAS.484.4315C,TRUE,FALSE,FALSE,TRUE,14.1,2017AJ....153...95R
HD 163296,HD 163296,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=HD+163296,269.0886644,-21.95625087,2016,2013ApJ...776...44M,MW,other,,,A1,2013ApJ...776...44M,,,9250,2013ApJ...776...44M,1.54,2013ApJ...776...44M,2.2,2013ApJ...776...44M,,,,,,,,,2.3,2013ApJ...776...44M,-6.35,2013ApJ...776...44M,,,5,2013ApJ...776...44M,,,,,7.01,2013ApJ...776...44M,2013ApJ...776...44M.08,2013ApJ...776...44M,6.9,2013ApJ...776...44M,6.74,2013ApJ...776...44M,GAIA DR3 4070355800839765248 ,9.904265031,0.040762495,FALSE,none,TRUE,FALSE,FALSE,TRUE,-4,2017AJ....153...95R
HD 294260,HD 294260,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=HD+294260,84.21361066,-4.427765288,2016,2021A&A...652A.133V,MW,other,,,G1,1984AJ.....89..399R,,,6115,2021A&A...652A.133V,0.94,2021A&A...652A.133V,1.68,2021A&A...652A.133V,,,,,,,,,,,,,0.16,2021A&A...652A.133V,6.72,2021A&A...652A.133V,,,,,,,,,,,,,GAIA DR3 3215594774172175104,2.554764804,0.017692754,FALSE,none,TRUE,FALSE,FALSE,TRUE,30.4,2020AJ....160..120J
EZ Ori,V* EZ ori,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=EZ+Ori,83.57736441,-5.07994107,2016,2004AJ....128.1294C,MW,Ori OB1c,,,G3,2004AJ....128.1294C,,,5830,2004AJ....128.1294C,0.77,2004AJ....128.1294C,1.6,2004AJ....128.1294C,,,,,,,,,2.4,2004AJ....128.1294C,-8.4,2004AJ....128.1294C,0.19,2004AJ....128.1294C,9.7,2004AJ....128.1294C,,,,,12.83,2004AJ....128.1294C,12.53,2004AJ....128.1294C,11.7,2004AJ....128.1294C,10.72,2004AJ....128.1294C,GAIA DR3 3209539488761714432,2.798737865,0.17518893,FALSE,none,TRUE,FALSE,FALSE,TRUE,23.8,2020AJ....160..120J
