root,targ,ull_targ
P1174401000,HD32109,SK-67D20
P1031002000,SK-65D22,SK-65D22
P1031002000,SK-65D22,SK-65D22
B1340101000,AV377,AV-377
B1340101000,AV377,AV-377
P1172101000,SK-70D69,SK-70D69
P1175401000,AV388,AV-388
P2210101000,AV6,AV-6
P2210101000,AV6,AV-6
Z9122001000,AV175,AV-175
Z9122001000,AV175,AV-175
E5114201000,SK-68D137,SK-68D137
P1174001000,SK-68D52,SK-68D52
P1174001000,SK-68D52,SK-68D52
P1030501000,SK159,AV-488
P1030501000,SK159,AV-488
P1176401000,AV327,AV-327
P1176401000,AV327,AV-327
D0981101000,LH114-7,LH-114-7
P1030703000,SK-67D05,SK-67D5
P1030703000,SK-67D05,SK-67D5
P1174501000,HD33133,SK-66D51
P1174501000,HD33133,SK-66D51
P1173202000,BI173,BI-173
P1173202000,BI173,BI-173
P1150202000,AV47,AV-47
P1150202000,AV47,AV-47
P1175901000,AV207,AV-207
P1175901000,AV207,AV-207
E5111601000,AV435,AV-435
P2210201000,AV456,AV-456
P2210201000,AV456,AV-456
P1176201000,AV83,AV-83
C0020401000,Sk-6722,SK-67D22
C0020401000,Sk-6722,SK-67D22
B0890201000,Sk155,AV-479
B0890201000,Sk155,AV-479
P2230101000,HD5980,HD-5980
P2230101000,HD5980,HD-5980
D1620701000,AV22,AV-22
B0860201000,SK-68D26,SK-68D26
B0860201000,SK-68D26,SK-68D26
P1150404000,AV75,AV-75
P1150404000,AV75,AV-75
P1172902000,BI272,BI-272
P2170701000,AV170,AV-170
P2170701000,AV170,AV-170
D1530105000,SK-67D105,SK-67D105
D1530105000,SK-67D105,SK-67D105
D1620601000,AV210,AV-210
D1620601000,AV210,AV-210
E5110501000,AV255,AV-255
P1173001000,SK-67D111,SK-67D111
P1173001000,SK-67D111,SK-67D111
P1175001000,HD37026,HD37026
