target_name_ullyses,target_name_simbad,simbad_link,target_classification,gaia_id,targ_ra,targ_dec,coordinate_epoch,host_galaxy_name,host_cluster_name,spectral_type,spectral_type_ref,sp_class,temp_class,lum_class,u_mag,u_mag_ref,b_mag,b_mag_ref,v_mag,v_mag_ref,bmv0_mag,bmv0_mag_ref,extinction_ebmv,extinction_ebmv_ref,star_teff,star_teff_ref,surface_gravity,surface_gravity_ref,star_luminosity,star_luminosity_ref,star_radius,star_radius_ref,star_mass,star_mass_ref,rotation_velocity,rotation_velocity_ref,terminal_velocity,terminal_velocity_ref,rate_massloss,rate_massloss_ref,known_binary,known_binary_ref,Extra,F225W_STmag,F275W_STmag,F336W_STmag,F475W_STmag,F814W_STmag,AR
AV 39a,AzV 39a,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+39a,Mid WN Star,Gaia DR3 4685931438808874496,12.12853017,-73.2627361,2016,SMC,None,WN5ha,2003MNRAS.338..360F,WN,5,none,13.08,2002ApJS..141...81M,14.08,2002ApJS..141...81M,14.26,2002ApJS..141...81M,,None,0.1,2015A&A...581A..21H,47000,2015A&A...581A..21H,,None,5.57,2015A&A...581A..21H,9.1,2015A&A...581A..21H,43,2015A&A...581A..21H,,None,900,2015A&A...581A..21H,1.80E-06,2015A&A...581A..21H,FALSE,None,FALSE,,,,,,FALSE
AV 43,AzV 43,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+43,Early B Dwarf,Gaia DR3 4688971141771555072,12.19958504,-72.77358659,2016,SMC,None,B0.5 III,2013ApJ...763..101L,B,0.2,V,12.8,2002ApJS..141...81M,13.76,2002ApJS..141...81M,13.88,2002ApJS..141...81M,-0.3,1970A&A.....4..234F,0.08,2021A&A...647A.134B,28500,2021A&A...647A.134B,3.37,2021A&A...647A.134B,5.13,2021A&A...647A.134B,15.1,"Derived from L,Teff",22.4,2021A&A...647A.134B,200,2021A&A...647A.134B,1200,2021A&A...647A.134B,2.20E-08,2021A&A...647A.134B,FALSE,None,FALSE,,,,,,TRUE
AV 47,AzV 47,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+47,Late O Giant,Gaia DR3 4685925666371896576,12.21454425,-73.43293402,2016,SMC,None,O8 III((f)),2000PASP..112.1243W,O,8,III,12.26,2002ApJS..141...81M,13.26,2002ApJS..141...81M,13.44,2002ApJS..141...81M,-0.27,2006A&A...457..637M,0.05,2021A&A...647A.134B,35000,2021A&A...647A.134B,3.75,2021A&A...647A.134B,5.44,2021A&A...647A.134B,14.3,2021A&A...647A.134B,42.2,2021A&A...647A.134B,60,2021A&A...647A.134B,2000,2021A&A...647A.134B,2.10E-08,2021A&A...647A.134B,FALSE,None,FALSE,,,,,,TRUE
OGLE J004942.75-731717.7,OGLE J004942.75-731717.7,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=OGLE+J004942.75-731717.7,Early O Dwarf,Gaia DR3 4685931679327948800,12.42810262,-73.2883844,2016,SMC,None,O6 V((f))e,2016ApJ...819...55G,O,6,V,13.31,2002ApJS..141...81M,14.17,2002ApJS..141...81M,14.11,2002ApJS..141...81M,-0.28,2006A&A...457..637M,0.34,Derived from (B-V)0,,None,,None,,None,,None,,None,,None,,None,,None,FALSE,None,TRUE,,,,,,TRUE
AV 61,AzV 61,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+61,Mid O Giant,Gaia DR3 4689052849220827008,12.50778471,-72.19072494,2016,SMC,None,O6 III((f))e_1_,2016ApJ...817..113L,O,6,III,12.31,2002ApJS..141...81M,13.36,2002ApJS..141...81M,13.54,2002ApJS..141...81M,-0.27,2006A&A...457..637M,0.09,Derived from (B-V)0,,None,,None,,None,,None,,None,228,2009ApJ...700..844P,2025,1998MNRAS.300..828P,,None,FALSE,None,FALSE,,,,,,FALSE
AV 69,AzV 69,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+69,Mid O Giant,Gaia DR3 4688960043574823296,12.57170571,-72.89174442,2016,SMC,None,OC7.5 III((f)),2000PASP..112.1243W,O,7.5,III,12.09,2002ApJS..141...81M,13.09,2002ApJS..141...81M,13.27,2002ApJS..141...81M,-0.27,2006A&A...457..637M,0.11,2021A&A...647A.134B,33900,2021A&A...647A.134B,3.5,2021A&A...647A.134B,5.61,2021A&A...647A.134B,18.6,"Derived from L,Teff",39.7,2021A&A...647A.134B,70,2021A&A...647A.134B,1800,2021A&A...647A.134B,9.80E-07,2021A&A...647A.134B,FALSE,None,FALSE,,,,,,TRUE
AV 70,AzV 70,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+70,Late O Supergiant,Gaia DR3 4688978838366817280,12.57552222,-72.63612689,2016,SMC,None,O9.5 Ibw,2002ApJS..141..443W,O,9.5,I,11.27,1975A&AS...22..285A,12.21,1975A&AS...22..285A,12.38,1975A&AS...22..285A,-0.26,2006A&A...457..637M,0.09,Derived from (B-V)0,28500,2004ApJ...610.1021E,3.1,2004ApJ...610.1021E,5.68,2004ApJ...610.1021E,28.4,2004ApJ...610.1021E,,None,100,2004ApJ...610.1021E,1450,2004ApJ...610.1021E,1.50E-06,2004ApJ...610.1021E,FALSE,None,FALSE,,,,,,FALSE
AV 75,AzV 75,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+75,Mid O Giant,Gaia DR3 4688960073598936960,12.63503244,-72.87679485,2016,SMC,None,O5 III(f+),2000PASP..112.1243W,O,5,III,11.55,2002ApJS..141...81M,12.55,2002ApJS..141...81M,12.7,2002ApJS..141...81M,-0.28,2006A&A...457..637M,0.14,2021A&A...647A.134B,38500,2021A&A...647A.134B,3.51,2021A&A...647A.134B,5.94,2021A&A...647A.134B,21,"Derived from L,Teff",51.1,2021A&A...647A.134B,120,2021A&A...647A.134B,2050,2021A&A...647A.134B,1.60E-06,2021A&A...647A.134B,FALSE,None,FALSE,,,,,,TRUE
AV 78,AzV 78,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+78,Early B Supergiant,Gaia DR3 4685876050900042880,12.65995443,-73.47174351,2016,SMC,None,B1.5 Ia+,1997A&A...317..871L,B,1.5,I,10.13,1977A&AS...30..261A,11.02,1977A&AS...30..261A,11.05,1977A&AS...30..261A,-0.18,1970A&A.....4..234F,0.15,Derived from (B-V)0,21500,2005A&A...434..677T,2.4,2005A&A...434..677T,5.92,2005A&A...434..677T,79,2005A&A...434..677T,53,2005A&A...434..677T,46,2006A&A...451..603D,450,2004ApJ...607..451E,2.30E-06,2005A&A...434..677T,FALSE,None,TRUE,,,,,,TRUE
AV 81,SK 41,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+41,Mid WN Star,Gaia DR3 4685879040157034624,12.6809491,-73.45162056,2016,SMC,None,WN6h,2003MNRAS.338..360F,WN,6,none,12.36,2002ApJS..141...81M,13.25,2002ApJS..141...81M,13.37,2002ApJS..141...81M,,None,0.09,2015A&A...581A..21H,45000,2015A&A...581A..21H,,None,5.78,2015A&A...581A..21H,13,2015A&A...581A..21H,38,2015A&A...581A..21H,,None,1000,2015A&A...581A..21H,6.60E-06,2015A&A...581A..21H,FALSE,None,FALSE,,,,,,FALSE
AV 80,AzV 80,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+80,Mid O Giant,Gaia DR3 4688964334254663168,12.68256443,-72.79488163,2016,SMC,None,O4-6n(f)p,2000PASP..112.1243W,O,4,none,12.22,2002ApJS..141...81M,13.19,2002ApJS..141...81M,13.32,2002ApJS..141...81M,-0.28,2006A&A...457..637M,0.15,Derived from (B-V)0,38000,2006ApJ...638..409H,3.5,2006ApJ...638..409H,,None,,None,,None,325,2006ApJ...638..409H,1550,2004ApJ...607..451E,,None,FALSE,None,FALSE,,,,,,TRUE
AV 83,AzV 83,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+83,Mid O Supergiant,Gaia DR3 4688966125248119808,12.71668182,-72.70415569,2016,SMC,None,O7 Iaf+,2000PASP..112.1243W,O,7,I,,None,13.45,2000PASP..112.1243W,13.58,2000PASP..112.1243W,-0.27,2006A&A...457..637M,0.13,2021A&A...647A.134B,32800,2021A&A...647A.134B,3.26,2021A&A...647A.134B,5.54,2021A&A...647A.134B,18.3,"Derived from L,Teff",22.1,2021A&A...647A.134B,80,2021A&A...647A.134B,940,2021A&A...647A.134B,2.30E-06,2021A&A...647A.134B,FALSE,None,FALSE,,,,,,TRUE
AV 85,AzV 85,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+85,Early B Bright Giant,Gaia DR3 4688959940495161600,12.75077817,-72.88452372,2016,SMC,None,B1 II-IIIe,2006A&A...457..949M,B,1,II,12.69,1982A&AS...50..291A,13.68,1982A&AS...50..291A,13.75,1982A&AS...50..291A,-0.24,1970A&A.....4..234F,0.17,Derived from (B-V)0,,None,,None,,None,,None,,None,,None,,None,,None,FALSE,None,FALSE,,,,,,FALSE
AV 95,AzV 95,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+95,Mid O Giant,Gaia DR3 4688965060095843072,12.84001069,-72.73747062,2016,SMC,None,O7 III((f)),2000PASP..112.1243W,O,7,III,12.57,2002ApJS..141...81M,13.6,2002ApJS..141...81M,13.78,2002ApJS..141...81M,-0.27,2006A&A...457..637M,0.09,Derived from (B-V)0,38200,2006A&A...456.1131M,3.66,2006A&A...456.1131M,5.56,2006A&A...456.1131M,13.8,2006A&A...456.1131M,39.3,2006A&A...456.1131M,68,2006A&A...456.1131M,1700,2004ApJ...607..451E,3.60E-07,2006A&A...456.1131M,FALSE,None,FALSE,,,,,,TRUE
AV 96,AzV 96,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+96,Early B Supergiant,Gaia DR3 4689054945164735616,12.84645739,-72.12248265,2016,SMC,None,B1.5 Ia,1997A&A...317..871L,B,1.5,I,11.54,2002ApJS..141...81M,12.49,2002ApJS..141...81M,12.59,2002ApJS..141...81M,-0.18,1970A&A.....4..234F,0.08,Derived from (B-V)0,22000,2005A&A...434..677T,2.55,2005A&A...434..677T,5.39,2005A&A...434..677T,34,2005A&A...434..677T,27,2005A&A...434..677T,90,2005A&A...434..677T,850,2005A&A...434..677T,2.40E-07,2005A&A...434..677T,FALSE,None,FALSE,,,,,,FALSE
AV 104,AzV 104,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+104,Early B Supergiant,Gaia DR3 4688961516740580224,12.91012753,-72.80169482,2016,SMC,None,B0.5 Ia,1997A&A...317..871L,B,0.5,I,12.05,2002ApJS..141...81M,13.01,2002ApJS..141...81M,13.17,2002ApJS..141...81M,-0.22,1970A&A.....4..234F,0.06,Derived from (B-V)0,27500,2004A&A...417..217T,3.1,2004A&A...417..217T,5.31,2004A&A...417..217T,20,2004A&A...417..217T,26,2004A&A...417..217T,80,2004A&A...417..217T,1340,2004A&A...417..217T,4.00E-07,2004A&A...417..217T,FALSE,None,FALSE,,,,,,TRUE
2dFS 5066,2dFS 5066,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=2dFS+5066,Mid O Dwarf,Gaia DR3 4688991585819715712,13.30356547,-72.6166621,2016,SMC,None,O6 V((f)),2004MNRAS.353..601E,O,6,V,12.84,2002ApJS..141...81M,13.9,2002ApJS..141...81M,14.1,2002ApJS..141...81M,-0.28,2006A&A...457..637M,0.08,Derived from (B-V)0,,None,,None,,None,,None,,None,,None,,None,,None,FALSE,None,TRUE,,,,,,TRUE
AV 148,AzV 148,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+148,Late O Dwarf,Gaia DR3 4688986431859207296,13.42597885,-72.70980551,2016,SMC,None,O8.5 V,1995ApJ...438..188M,O,8.5,V,12.92,2002ApJS..141...81M,13.92,2002ApJS..141...81M,14.12,2002ApJS..141...81M,-0.27,2006A&A...457..637M,0.07,Derived from (B-V)0,32300,2013A&A...555A...1B,4,2013A&A...555A...1B,4.84,2013A&A...555A...1B,8.4,"Derived from L,Teff",19,2013A&A...555A...1B,60,2013A&A...555A...1B,1540,2013A&A...555A...1B,2.00E-09,2013A&A...555A...1B,FALSE,None,FALSE,,,,,,FALSE
2dFS 999,SMC AB 9,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SMC+AB+9,Early WN Star,Gaia DR3 4685983940501730944,13.63399273,-72.74324589,2016,SMC,None,WN3 ha,2003MNRAS.338..360F,WN,3,none,14.13,2002ApJS..141...81M,15.12,2002ApJS..141...81M,15.24,2002ApJS..141...81M,,None,0.09,2015A&A...581A..21H,100000,2015A&A...581A..21H,,None,6.05,2015A&A...581A..21H,3.5,2015A&A...581A..21H,,None,,None,1800,2015A&A...581A..21H,2.20E-06,2015A&A...581A..21H,FALSE,None,FALSE,,,,,,FALSE
AV 170,AzV 170,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+170,Late O Supergiant,Gaia DR3 4685907490067913728,13.92680183,-73.29181782,2016,SMC,None,O9.7 III,2000PASP..112.1243W,O,9.7,III,12.74,2002ApJS..141...81M,13.74,2002ApJS..141...81M,13.93,2002ApJS..141...81M,-0.26,2006A&A...457..637M,0.07,Derived from (B-V)0,30500,2021A&A...647A.134B,3.41,2021A&A...647A.134B,5.14,2021A&A...647A.134B,13.3,"Derived from L,Teff",16.6,2021A&A...647A.134B,70,2021A&A...647A.134B,1200,2021A&A...647A.134B,1.50E-09,2021A&A...647A.134B,FALSE,None,TRUE,,,,,,TRUE
NGC330 ROB B22,Cl* NGC330 ARP 45,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=Cl*+NGC330+ARP+45,Early B Bright Giant,Gaia DR3 4688993716122710272,14.04200269,-72.45904812,2016,SMC,NGC 330,B2 II,2003A&A...398..455L,B,2,II,13.67,1996A&A...316..173M,14.42,1996A&A...316..173M,14.29,1996A&A...316..173M,-0.21,1970A&A.....4..234F,0.07,Derived from (B-V)0,20000,2003A&A...398..455L,3.6,2003A&A...398..455L,4.65,2003A&A...398..455L,17.6,2003A&A...398..455L,14,2003A&A...398..455L,35,2003A&A...398..455L,,None,,None,FALSE,None,TRUE,,,,,,TRUE
NGC330 ELS 4,CL* NGC 330 ELS 4,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=CL*+NGC+330+ELS+4,Early B Supergiant,Gaia DR3 4688993475604579840,14.08670042,-72.47615427,2016,SMC,NGC 330,B2.5 Ib,2006A&A...456..623E,B,2.5,I,,None,13.26,2006A&A...456..623E,13.33,2006A&A...456..623E,-0.15,1970A&A.....4..234F,0.08,Derived from (B-V)0,17000,2007A&A...471..625T,2.3,2007A&A...471..625T,4.77,2007A&A...471..625T,28,"Derived from L,Teff",15,2007A&A...471..625T,41,2007A&A...471..625T,,None,,None,FALSE,None,FALSE,,,,,,TRUE
NGC330 ELS 2,CL* NGC 330 ELS 2,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=CL*+NGC+330+ELS+2,Early B Supergiant,Gaia DR3 4688993475604539520,14.10360675,-72.46165308,2016,SMC,NGC 330,B3 Ib,2006A&A...456..623E,B,3,I,12.07,2002ApJS..141...81M,12.8,2002ApJS..141...81M,12.87,2002ApJS..141...81M,-0.13,1970A&A.....4..234F,0.06,Derived from (B-V)0,14590,2007A&A...471..625T,2.15,2007A&A...471..625T,4.73,2007A&A...471..625T,36.3,"Derived from L,Teff",15,2007A&A...471..625T,14,2007A&A...471..625T,,None,,None,FALSE,None,FALSE,,,,,,TRUE
NGC330 ROB A1,Cl* NGC330 ARP 13,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=Cl*+NGC330+ARP+13,Early B Dwarf,Gaia DR3 4688993471342805248,14.10791499,-72.46485877,2016,SMC,NGC 330,B0.5 III/V,1996A&A...314..243L,B,0.5,III,13.67,1996A&A...316..173M,14.52,1996A&A...316..173M,14.7,1996A&A...316..173M,-0.28,1970A&A.....4..234F,0.05,Derived from (B-V)0,24000,2003A&A...398..455L,3.7,2003A&A...398..455L,4.67,2003A&A...398..455L,12.6,2003A&A...398..455L,15,2003A&A...398..455L,30,2003A&A...398..455L,,None,,None,FALSE,None,TRUE,,,,,,TRUE
AV 175,AzV 175,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+175,Early B Bright Giant,Gaia DR3 4685986483121883776,14.15866719,-72.60980537,2016,SMC,None,B1 IIW,1987AJ.....93.1070G,B,1,II,12.61,2002ApJS..141...81M,13.45,2002ApJS..141...81M,13.53,2002ApJS..141...81M,-0.24,1970A&A.....4..234F,0.16,Derived from (B-V)0,,None,,None,,None,,None,,None,51,2009ApJ...700..844P,,None,,None,FALSE,None,FALSE,,,,,,FALSE
AV 177,AzV 177,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+177,Early O Dwarf,Gaia DR3 4689067108514288768,14.18377475,-72.05880552,2016,SMC,None,O4 V((f)),2005ApJ...627..477M,O,4,V,13.27,2002ApJS..141...81M,14.32,2002ApJS..141...81M,14.53,2002ApJS..141...81M,-0.28,2006A&A...457..637M,0.07,Derived from (B-V)0,44500,2013A&A...555A...1B,4.03,2013A&A...555A...1B,5.43,2013A&A...555A...1B,8.7,"Derived from L,Teff",38.8,2013A&A...555A...1B,220,2013A&A...555A...1B,2400,2013A&A...555A...1B,1.40E-07,2013A&A...555A...1B,FALSE,None,FALSE,,,,,,TRUE
AV 186,Cl* NGC 330 ELS 013,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=Cl*+NGC+330+ELS+013,Late O Giant,Gaia DR3 4685992530438263808,14.36225429,-72.55377217,2016,SMC,NGC 330,O8.5 III((f)),2016ApJ...817..113L,O,8.5,III,12.75,2002ApJS..141...81M,13.77,2002ApJS..141...81M,13.98,2002ApJS..141...81M,-0.27,2006A&A...457..637M,0.06,Derived from (B-V)0,34500,2006A&A...456.1131M,3.4,2006A&A...456.1131M,5.4,2006A&A...456.1131M,14.1,2006A&A...456.1131M,32.2,2006A&A...456.1131M,73,2006A&A...456.1131M,1600,2006A&A...456.1131M,3.00E-07,2006A&A...456.1131M,FALSE,None,FALSE,,,,,,FALSE
AV 187,AzV 187,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+187,Early B Supergiant,Gaia DR3 4690800076238941056,14.38222122,-71.33313596,2016,SMC,None,B3 Ia,1997A&A...317..871L,B,3,I,11.21,1977A&AS...30..261A,11.96,1977A&AS...30..261A,12.06,1977A&AS...30..261A,-0.13,1970A&A.....4..234F,0.03,Derived from (B-V)0,,None,,None,,None,,None,,None,,None,,None,,None,FALSE,None,FALSE,,,,,,FALSE
AV 189,AzV 189,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+189,Early B Subgiant,Gaia DR3 4688995777709724800,14.38548688,-72.48087616,2016,SMC,None,O9 V,1995ApJ...438..188M,O,9,V,13.32,2002ApJS..141...81M,14.26,2002ApJS..141...81M,14.37,2002ApJS..141...81M,-0.27,2006A&A...457..637M,0.16,Derived from (B-V)0,32300,2013A&A...555A...1B,4.03,2013A&A...555A...1B,4.81,2013A&A...555A...1B,8.1,"Derived from L,Teff",18.8,2013A&A...555A...1B,150,2013A&A...555A...1B,1250,2013A&A...555A...1B,6.00E-10,2013A&A...555A...1B,FALSE,None,FALSE,,,,,,TRUE
AV 200,AzV 200,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+200,Late B Supergiant,Gaia DR3 4685988338550464896,14.53295077,-72.64180804,2016,SMC,None,B8 Ia,1997A&A...317..871L,B,8,I,11.72,1977A&AS...30..261A,12.24,1977A&AS...30..261A,12.17,1977A&AS...30..261A,-0.01,1970A&A.....4..234F,0.08,Derived from (B-V)0,12100,2014ApJ...785..151H,1.71,2014ApJ...785..151H,,None,,None,,None,,None,,None,,None,FALSE,None,FALSE,,,,,,FALSE
NGC346 ELS 43,CL* NGC 346 ELS 43,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=CL*+NGC+346+ELS+43,Early B Dwarf,Gaia DR3 4689019245413731840,14.55813836,-72.15531247,2016,SMC,NGC 346,B0 V,2006A&A...456..623E,B,0,V,14.06,2002ApJS..141...81M,15.05,2002ApJS..141...81M,15.18,2002ApJS..141...81M,-0.3,1970A&A.....4..234F,0.17,Derived from (B-V)0,33000,2007A&A...466..277H,4.25,2007A&A...466..277H,4.71,2007A&A...466..277H,6.9,"Derived from L,Teff",18,2007A&A...466..277H,10,2007A&A...466..277H,,None,,None,FALSE,None,FALSE,,,,,,TRUE
