target_name_std,target_name_simbad,target_id,target_classification,simbad_link,targ_ra,targ_dec,coordinate_epoch,source_catalog,host_galaxy_name,host_cluster_name,d_gaia_dr2,d_gaia_dr2_err,spectral_type,spectral_type_ref,temp_class,temp_class_ref,lum_class,star_teff,star_teff_ref,star_luminosity,star_luminosity_ref,star_mass,star_mass_ref,surface_gravity,surface_gravity_ref,rotation_period,rotation_period_ref,rotation_velocity,rotation_velocity_ref,terminal_velocity,terminal_velocity_ref,radius,radius_ref,rate_accretion,rate_accretion_ref,extinction_ebmv,extinction_ebmv_ref,age,age_ref,metallicity,metallicity_ref,fuv_mag,nuv_mag,u_mag,u_mag_ref,b_mag,b_mag_ref,v_mag,v_mag_ref,i_mag,i_mag_ref,gaia_dr2_id,gaia_parallax,gaia_parallax_err,known_binary,known_binary_ref,is_variable,is_monitor_targ,extended
Sz69,HW Lup,?,T Tauri star,,236.3224714,-34.30795452,2015.5,2017A&A...600A..20A ,MW,Lupus I,154.547562,1.953788822,M4.5,2014A&A...561A...2A,,,,3197,2017A&A...600A..20A ,-1.06,2017A&A...600A..20A ,0.2,2014A&A...561A...2A,,,,,,,,,,,-9.51,2014A&A...561A...2A,0,2014A&A...561A...2A,,,,,,,16.78,none,,,16.25,none,,,Gaia DR2 6014696635395266304,6.4705,0.0818,none,none,TRUE,FALSE,FALSE
Sz76,J15493074-3549514,?,T Tauri star,,237.3779966,-35.83105015,2015.5,2017A&A...600A..20A ,MW,Lupus I,159.537978,1.292980215,M4,2017A&A...600A..20A,,,,3270,2017A&A...600A..20A ,-0.8,2017A&A...600A..20A ,0.23,2017A&A...600A..20A,,,,,,,,,,,-9.26,2017A&A...600A..20A,0.065,2017A&A...600A..20A,,,,,,,15.65,none,,,15.18,none,,,Gaia DR2 6011500389453302272,6.2681,0.0508,none,none,TRUE,FALSE,FALSE
Sz71,GW Lup,?,T Tauri star,,236.6862987,-34.51001093,2015.5,2017A&A...600A..20A ,MW,Lupus I,155.8919357,1.339056489,M1.5,2014A&A...561A...2A,,,,3632,2017A&A...600A..20A ,-0.51,2017A&A...600A..20A ,0.42,2014A&A...561A...2A,,,,,,,,,,,-9.06,2014A&A...561A...2A,0.161,2014A&A...561A...2A,,,,,,,14.03,none,,,13.54,none,,,Gaia DR2 6014722194741392512,6.4147,0.0551,none,none,TRUE,FALSE,FALSE
Sz66,MJS2008-5,?,T Tauri star,,234.8677766,-34.77178355,2015.5,2017A&A...600A..20A ,MW,Lupus I,157.3390815,2.101749298,M3,2014A&A...561A...2A,,,,3415,2017A&A...600A..20A ,-0.7,2017A&A...600A..20A ,0.29,2014A&A...561A...2A,3.68,derived,,,,,,,1.28,derived,-8.54,2014A&A...561A...2A,0.323,2014A&A...561A...2A,,,,,,,15.41,none,,,15,none,,,Gaia DR2 6013399830146943104,6.3557,0.0849,none,none,TRUE,FALSE,FALSE
Hn5,GX Cha,?,T Tauri star,,166.6737346,-76.5969653,2015.5,2017A&A...604A.127M,MW,Cha I,195.2858008,2.196664933,M5,2017A&A...604A.127M,,,,3125,2017A&A...604A.127M,-1.3,2017A&A...604A.127M,0.16,2017A&A...604A.127M,3.87,derived,,,,,,,0.77,derived,-9.28,2017A&A...604A.127M,0,2017A&A...604A.127M,6.3,2008hsf2.book..169L,-0.08,2014A&A...568A...2S,,,none,none,,,none,none,,,Gaia DR2 5201347064956072448,5.1207,0.0576,none,none,TRUE,FALSE,FALSE
Sz111,HBC 622,?,T Tauri star,,242.2277998,-39.62874901,2015.5,2017A&A...600A..20A ,MW,Lupus III,158.3305625,0.752057011,M1,2014A&A...561A...2A,,,,3705,2017A&A...600A..20A ,-0.48,2017A&A...600A..20A ,0.47,2014A&A...561A...2A,,,,,,,,,,,-9.12,2014A&A...561A...2A,0,2014A&A...561A...2A,,,,,,,14.27,none,,,13.98,none,,,Gaia DR2 5997006897751436544,6.3159,0.03,none,none,TRUE,FALSE,FALSE
Sz130,HBC 610,?,T Tauri star,,240.1292602,-41.72704171,2015.5,2017A&A...600A..20A ,MW,Lupus IV,160.2692523,1.00433172,M2,2014A&A...561A...2A,,,,3560,2017A&A...600A..20A ,-0.8,2017A&A...600A..20A ,0.41,2014A&A...561A...2A,,,,,,,,,,,-9.19,2014A&A...561A...2A,0,2014A&A...561A...2A,,,,,,,15.05,none,,,14.71,none,,,Gaia DR2 5995197552601942528,6.2395,0.0391,none,none,TRUE,FALSE,FALSE
V-IN-Cha,T50,?,T Tauri star,,168.0405619,-76.57680784,2015.5,2017A&A...604A.127M,MW,Cha I,193.2292472,1.881812115,M5,2017A&A...604A.127M,,,,3125,2017A&A...604A.127M,-0.85,2017A&A...604A.127M,0.17,2017A&A...604A.127M,3.44,derived,,,,,,,1.29,derived,-9.34,2017A&A...604A.127M,0.032,2017A&A...604A.127M,6.3,2008hsf2.book..169L,-0.08,2014A&A...568A...2S,,,none,none,,,none,none,,,Gaia DR2 5201303874764724352,5.1752,0.0504,none,none,TRUE,FALSE,FALSE
SSTc2dJ160000.6-422158,MJS2008-144,?,T Tauri star,,240.0024416,-42.36588571,2015.5,2017A&A...600A..20A ,MW,Lupus IV,161.2045202,1.951615989,M4.5,2017A&A...600A..20A,,,,3200,2017A&A...600A..20A ,-1.06,2017A&A...600A..20A ,0.2,2017A&A...600A..20A,,,,,,,,,,,-9.81,2017A&A...600A..20A,0,2017A&A...600A..20A,,,,,,,16.57,none,,,15.85,none,,,Gaia DR2 5995139690801717120,6.2033,0.0751,none,none,TRUE,FALSE,FALSE
V-WZ-Cha,T48,?,T Tauri star,,167.7217691,-76.57557518,2015.5,2017A&A...604A.127M,MW,Cha I,194.6850969,1.137068608,M3,2017A&A...604A.127M,,,,3415,2017A&A...604A.127M,-0.8,2017A&A...604A.127M,0.3,2017A&A...604A.127M,3.79,derived,,,,,,,1.14,derived,-7.96,2017A&A...604A.127M,0.387,2017A&A...604A.127M,6.3,2008hsf2.book..169L,-0.08,2014A&A...568A...2S,,,15.63,none,,,15.48,none,,,Gaia DR2 5201303325008889856,5.1365,0.03,none,none,TRUE,FALSE,FALSE
SSTc2dJ161344.1-373646,MJS2008-141,?,T Tauri star,,243.4336801,-37.61295086,2015.5,2017A&A...600A..20A ,MW,Lupus III,160,2.18624,M5,2017A&A...600A..20A,,,,3125,2017A&A...600A..20A ,-1.16,2017A&A...600A..20A ,0.16,2017A&A...600A..20A,,,,,,,,,,,-8.94,2017A&A...600A..20A,0.194,2017A&A...600A..20A,,,,,,,17.79,none,,,17.32,none,,,Gaia DR2 5997644343928854656,6.25,0.0854,none,none,TRUE,FALSE,FALSE
V-VZ-Cha,T40,?,T Tauri star,,167.3486629,-76.38912858,2015.5,2017A&A...604A.127M,MW,Cha I,192.3039942,0.828370506,M0.5,2017A&A...604A.127M,,,,3780,2017A&A...604A.127M,-0.26,2017A&A...604A.127M,0.49,2017A&A...604A.127M,3.64,derived,,,,,,,1.73,derived,-7.33,2017A&A...604A.127M,0.387,2017A&A...604A.127M,6.3,2008hsf2.book..169L,-0.08,2014A&A...568A...2S,,,12.71,none,,,12.94,none,,,Gaia DR2 5201353936903777152,5.2001,0.0224,none,none,TRUE,FALSE,FALSE
SSTc2dJ161243.8-381503,MJS2008-137,?,T Tauri star,,243.1822448,-38.25095081,2015.5,2017A&A...600A..20A ,MW,Lupus III,159.813338,1.231042605,M1,2017A&A...600A..20A,,,,3705,2017A&A...600A..20A ,-0.21,2017A&A...600A..20A ,0.44,2017A&A...600A..20A,,,,,,,,,,,-8.76,2017A&A...600A..20A,0.258,2017A&A...600A..20A,,,,,,,13.89,none,,,13.44,none,,,Gaia DR2 5997549820286701440,6.2573,0.0482,none,none,TRUE,FALSE,FALSE
RECX-5,EK Cha,?,T Tauri star,,130.612223,-78.96319282,2015.5,2018A&A...609A..70R,MW,eta Cha,98.76640757,0.440917108,M4.5,2018A&A...609A..70R,,,,3085,2018A&A...609A..70R,-1.17,2018A&A...609A..70R,0.15,2018A&A...609A..70R,3.69,derived,,,,,,,0.91,derived,-9.89,2018A&A...609A..70R,0,2018A&A...609A..70R,,,,,,,15.96,none,,,15.2,none,,,Gaia DR2 5209037736474704512,10.1249,0.0452,none,none,TRUE,FALSE,FALSE
RECX-9,EN Cha,?,T Tauri star,,131.0676721,-78.98545579,2015.5,2018A&A...609A..70R,MW,eta Cha,none,none,M4.5,2018A&A...609A..70R,,,,3085,2018A&A...609A..70R,-1.02,2018A&A...609A..70R,0.15,2018A&A...609A..70R,3.54,derived,,,,,,,1.08,derived,-9.92,2018A&A...609A..70R,0,2018A&A...609A..70R,,,,,,,15.78,none,,,15,none,,,Gaia DR2 5209025366968905856,none,none,none,none,TRUE,FALSE,FALSE
ECHA-J0844.2-7833,RECX 16,?,T Tauri star,,131.037517,-78.56260203,2015.5,2018A&A...609A..70R,MW,eta Cha,98.48432622,0.796301242,M6.0,2018A&A...609A..70R,,,,2860,2018A&A...609A..70R,-2.11,2018A&A...609A..70R,0.052,2018A&A...609A..70R,4.03,derived,,,,,,,0.36,derived,-10.18,2018A&A...609A..70R,0,2018A&A...609A..70R,,,,,,,19.34,none,,,18.4,none,,,Gaia DR2 5209140815689766144,10.1539,0.0821,none,none,TRUE,FALSE,FALSE
2MASSJ11432669-7804454,eps Cha 17,?,T Tauri star,,175.860304,-78.0793253,2015.5,2017A&A...604A.127M,MW,Cha I,180.6325753,18.34027033,M5.5,2017A&A...604A.127M,,,,3060,2017A&A...604A.127M,-1.05,2017A&A...604A.127M,0.14,2017A&A...604A.127M,3.52,derived,,,,,,,1.07,derived,-8.71,2017A&A...604A.127M,0.129,2017A&A...604A.127M,6.3,2008hsf2.book..169L,-0.08,2014A&A...568A...2S,,,none,none,,,none,none,,,Gaia DR2 5200220890172379264,5.5361,0.5621,none,none,TRUE,FALSE,FALSE
CHX18N,J11114632-7620092,?,T Tauri star,,167.9426721,-76.33582011,2015.5,2017A&A...604A.127M,MW,Cha I,192.5150162,0.889488755,K2,2017A&A...604A.127M,,,,4900,2017A&A...604A.127M,0.01,2017A&A...604A.127M,1.25,2017A&A...604A.127M,4.23,derived,,,,,,,1.41,derived,-8.09,2017A&A...604A.127M,0.258,2017A&A...604A.127M,6.3,2008hsf2.book..169L,-0.08,2014A&A...568A...2S,,,12,none,,,11.96,none,,,Gaia DR2 5225327134382282880,5.1944,0.024,none,none,TRUE,FALSE,FALSE
Sz45,HBC 590,?,T Tauri star,,169.4036416,-77.07726205,2015.5,2017A&A...604A.127M,MW,Cha I,188.377131,0.855211238,M0.5,2017A&A...604A.127M,,,,3780,2017A&A...604A.127M,-0.38,2017A&A...604A.127M,0.51,2017A&A...604A.127M,3.78,derived,,,,,,,1.51,derived,-8.09,2017A&A...604A.127M,0.226,2017A&A...604A.127M,6.3,2008hsf2.book..169L,-0.08,2014A&A...568A...2S,,,13.5,none,,,13.5,none,,,Gaia DR2 5201272195086070144,5.3085,0.0241,none,none,TRUE,FALSE,FALSE
Sz10,T12,?,T Tauri star,,165.728805,-77.36410683,2015.5,2017A&A...604A.127M,MW,Cha I,182.2423094,1.521121477,M4.5,2017A&A...604A.127M,,,,3200,2017A&A...604A.127M,-0.82,2017A&A...604A.127M,0.19,2017A&A...604A.127M,3.5,derived,,,,,,,1.27,derived,-8.7,2017A&A...604A.127M,0.258,2017A&A...604A.127M,6.3,2008hsf2.book..169L,-0.08,2014A&A...568A...2S,,,16.67,none,,,16.25,none,,,Gaia DR2 5201206048291386880,5.4872,0.0458,none,none,TRUE,FALSE,FALSE
XX Cha,T49,?,T Tauri star,,167.9149063,-76.33751007,2015.5,2017A&A...604A.127M,MW,Cha I,190.5088491,1.034368216,M3.5,2017A&A...604A.127M,,,,3340,2017A&A...604A.127M,-0.54,2017A&A...604A.127M,0.25,2017A&A...604A.127M,3.42,derived,,,,,,,1.61,derived,-7.41,2017A&A...604A.127M,0.323,2017A&A...604A.127M,6.3,2008hsf2.book..169L,-0.08,2014A&A...568A...2S,,,15,none,,,15.28,none,,,Gaia DR2 5225374074083637376,5.2491,0.0285,none,none,TRUE,FALSE,FALSE
V-SY-Cha,T4,?,T Tauri star,,164.1261571,-77.19426631,2015.5,2017A&A...604A.127M,MW,Cha I,183.0864717,0.646948663,K7,2017A&A...604A.127M,,,,4060,2017A&A...604A.127M,-0.37,2017A&A...604A.127M,0.78,2017A&A...604A.127M,4.08,derived,,,,,,,1.32,derived,-9.41,2017A&A...604A.127M,0.161,2017A&A...604A.127M,6.3,2008hsf2.book..169L,-0.08,2014A&A...568A...2S,,,14.51,none,,,13.8,none,,,Gaia DR2 5201388292344009984,5.4619,0.0193,none,none,TRUE,FALSE,FALSE
Sz19,DI Cha,?,T Tauri star,,166.8359117,-77.63535813,2015.5,2017A&A...604A.127M,MW,Cha I,190.6214258,1.071927576,K0,2017A&A...604A.127M,,,,5110,2017A&A...604A.127M,0.71,2017A&A...604A.127M,2.08,2017A&A...604A.127M,3.82,derived,,,,,,,2.9,derived,-7.63,2017A&A...604A.127M,0.484,2017A&A...604A.127M,6.3,2008hsf2.book..169L,-0.08,2014A&A...568A...2S,,,11.02,none,,,10.93,none,,,Gaia DR2 5201129121134048768,5.246,0.0295,none,none,TRUE,FALSE,FALSE
HD-104237E,eps Cha 7,?,T Tauri star,,180.0379024,-78.1951071,2015.5,2013A&A...549A..15F,MW,eps Cha,102.0814406,0.349090787,K5.5,2013A&A...549A..15F,,,,4278,2013A&A...549A..15F,-0.04,2013A&A...549A..15F,0.9,2013A&A...549A..15F,3.9,derived,,,,,,,1.74,derived,-9.07,2013A&A...549A..15F,0.323,2013A&A...549A..15F,,,,,,,12.82,none,,,12.08,none,,,Gaia DR2 5836666564480769280,9.7961,0.0335,none,none,TRUE,FALSE,FALSE
Sz110,V1193 Sco,?,T Tauri star,,242.2148196,-39.05501897,2015.5,2017A&A...600A..20A ,MW,Lupus III,159.507441,1.147462331,M4,2014A&A...561A...2A,,,,3270,2017A&A...600A..20A ,-0.56,2017A&A...600A..20A ,0.22,2014A&A...561A...2A,,,,,,,,,,,-8.53,2014A&A...561A...2A,0,2014A&A...561A...2A,,,,,,,14.51,none,,,14.58,none,,,Gaia DR2 5997082390415552768,6.2693,0.0451,none,none,TRUE,FALSE,FALSE
RXJ1842.9-3532,WRAY 15-1880,?,T Tauri star,,280.7415959,-35.54534575,2015.5,2014A&A...568A..18M,MW,CrA,153.8935057,1.032588004,K2,2014A&A...568A..18M,,,,4900,2014A&A...568A..18M,-0.25,2014A&A...568A..18M,0.93,2014A&A...568A..18M,4.37,derived,,,,,,,1.03,2014A&A...568A..18M,-8.8,2014A&A...568A..18M,0.129,2014A&A...568A..18M,,,,,,,12.06,none,,,11.77,none,,,Gaia DR2 6733646363730649856,6.498,0.0436,none,none,TRUE,FALSE,FALSE
Sz84,J15580252-3736026,?,T Tauri star,,239.5104332,-37.60085743,2015.5,2017A&A...600A..20A ,MW,Lupus I,152.6437905,2.367292879,M5,2014A&A...561A...2A,,,,3125,2017A&A...600A..20A ,-0.91,2017A&A...600A..20A ,0.16,2014A&A...561A...2A,,,,,,,,,,,-9.21,2014A&A...561A...2A,0,2014A&A...561A...2A,,,,,,,16.51,none,,,16.16,none,,,Gaia DR2 6010216537834709760,6.5512,0.1016,none,none,TRUE,FALSE,FALSE
RXJ1556.1-3655,Wray 15-1384,?,T Tauri star,,239.0086838,-36.92461757,2015.5,2017A&A...600A..20A ,MW,Lupus II,158.0103339,0.916298648,M1,2017A&A...600A..20A,,,,3705,2017A&A...600A..20A ,-0.63,2017A&A...600A..20A ,0.5,2017A&A...600A..20A,,,,,,,,,,,-7.92,2017A&A...600A..20A,0.323,2017A&A...600A..20A,,,,,,,14.91,none,,,13.85,none,,,Gaia DR2 6010483616079976448,6.3287,0.0367,none,none,TRUE,FALSE,FALSE
Sz82,IM Lup,?,T Tauri star,,239.0382953,-37.93513716,2015.5,2017A&A...600A..20A ,MW,Lupus II,158.445962,1.343124074,K5,2017A&A...600A..20A,,,,4350,2017A&A...600A..20A ,0.37,2017A&A...600A..20A ,0.95,2017A&A...600A..20A,,,,,,,,,,,-8.04,2017A&A...600A..20A,0.29,2017A&A...600A..20A,,,,,,,11.99,none,,,11.93,none,,,Gaia DR2 6010135758090335232,6.3113,0.0535,none,none,TRUE,FALSE,FALSE
Sz114,V908 Sco,?,T Tauri star,,242.25765,-39.08688532,2015.5,2017A&A...600A..20A ,MW,Lupus III,162.2507423,1.397873609,M4.8,2014A&A...561A...2A,,,,3175,2017A&A...600A..20A ,-0.51,2017A&A...600A..20A ,0.21,2014A&A...561A...2A,,,,,,,,,,,-8.96,2014A&A...561A...2A,0.097,2014A&A...561A...2A,,,,,,,14.46,none,,,14.12,none,,,Gaia DR2 5997410491550194816,6.1633,0.0531,none,none,TRUE,FALSE,FALSE
Sz99,MJS2008-42,?,T Tauri star,,242.1001252,-39.09716669,2015.5,2017A&A...600A..20A ,MW,Lupus III,159.0305498,2.23064113,M4,2014A&A...561A...2A,,,,3270,2017A&A...600A..20A ,-1.13,2017A&A...600A..20A ,0.23,2014A&A...561A...2A,,,,,,,,,,,-9.41,2014A&A...561A...2A,0,2014A&A...561A...2A,,,,,,,16.47,none,,,16,none,,,Gaia DR2 5997082768372892160,6.2881,0.0882,none,none,TRUE,FALSE,FALSE
Sz117,HBC 626,?,T Tauri star,,242.434791,-39.22515174,2015.5,2017A&A...600A..20A ,MW,Lupus III,158.5615298,1.159035078,M3.5,2017A&A...600A..20A,,,,3340,2017A&A...600A..20A ,-0.35,2017A&A...600A..20A ,0.26,2017A&A...600A..20A,,,,,,,,,,,-8.61,2017A&A...600A..20A,0.161,2017A&A...600A..20A,,,,,,,14.81,none,,,14.59,none,,,Gaia DR2 5997393311680941696,6.3067,0.0461,none,none,TRUE,FALSE,FALSE
Sz97,MJS2008-40,?,T Tauri star,,242.090799,-39.07273993,2015.5,2017A&A...600A..20A ,MW,Lupus III,157.7535889,1.709681583,M4,2014A&A...561A...2A,,,,3270,2017A&A...600A..20A ,-0.77,2017A&A...600A..20A ,0.23,2014A&A...561A...2A,,,,,,,,,,,-9.53,2014A&A...561A...2A,0,2014A&A...561A...2A,,,,,,,15.15,none,,,14.61,none,,,Gaia DR2 5997082871452217344,6.339,0.0687,none,none,TRUE,FALSE,FALSE
Sz100,MJS2008-43,?,T Tauri star,,242.1072905,-39.10044177,2015.5,2017A&A...600A..20A ,MW,Lupus III,136.9394043,3.191658557,M5.5,2014A&A...561A...2A,,,,3057,2017A&A...600A..20A ,-0.77,2017A&A...600A..20A ,0.16,2014A&A...561A...2A,,,,,,,,,,,-9.44,2014A&A...561A...2A,0,2014A&A...561A...2A,,,,,,,15.92,none,,,15.43,none,,,Gaia DR2 5997082046818385408,7.3025,0.1702,none,none,TRUE,FALSE,FALSE
Sz98,V1279 Sco,?,T Tauri star,,242.0936697,-39.07966866,2015.5,2017A&A...600A..20A ,MW,Lupus III,156.2182682,1.225088195,K7,2017A&A...600A..20A,,,,4060,2017A&A...600A..20A ,0.4,2017A&A...600A..20A ,0.7,2017A&A...600A..20A,,,,,,,,,,,-7.23,2017A&A...600A..20A,0.323,2017A&A...600A..20A,,,,,,,13.27,none,,,13.66,none,,,Gaia DR2 5997082867132347136,6.4013,0.0502,none,none,TRUE,FALSE,FALSE
RXJ1852.3-3700,J18521730-3700119,?,T Tauri star,,283.0721048,-37.00344106,2015.5,2014A&A...568A..18M,MW,CrA,145.8384984,1.122996211,K2,2014A&A...568A..18M,,,,4900,2014A&A...568A..18M,-0.11,2014A&A...568A..18M,1.04,2014A&A...568A..18M,4.28,derived,,,,,,,1.21,2014A&A...568A..18M,-8.7,2014A&A...568A..18M,0.323,2014A&A...568A..18M,,,,,,,12.7,none,,,12.19,none,,,Gaia DR2 6731011315385156224,6.8569,0.0528,none,none,TRUE,FALSE,FALSE
