radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
166.851831,0.344,-77.707504,0.037,NA,NA,0,NA,NA,0,NA,NA,0,18.11,0.24,1,16.745,0.116,1,NA,NA,0,NA,NA,0,NA,NA,0
166.86257,0.168,-77.812397,0.098,NA,NA,0,NA,NA,0,NA,NA,0,18.095,0.214,1,16.882,0.127,1,15.794,0.132,1,NA,NA,0,NA,NA,0
166.874189,0.625,-77.41705,0.528,16.554,0.085,1,18.037,0.214,1,NA,NA,0,17.382,0.167,4,15.933,0.083,4,14.971,0.056,4,NA,NA,0,NA,NA,0
166.886503,0.426,-77.816503,0.229,15.599,0.054,3,17.704,0.09,3,NA,NA,0,16.655,0.077,5,14.73,0.061,5,13.798,0.094,5,NA,NA,0,NA,NA,0
166.886601,0.29,-77.474215,0.244,15.842,0.046,1,17.49,0.136,1,NA,NA,0,16.681,0.13,5,15.208,0.048,5,13.936,0.106,5,NA,NA,0,NA,NA,0
166.931905,0.343,-77.66142,0.362,15.154,0.036,1,16.811,0.107,1,NA,NA,0,16.133,0.234,5,14.29,0.039,5,13.221,0.151,5,NA,NA,0,NA,NA,0
166.956413,0.325,-77.922156,0.238,NA,NA,0,NA,NA,0,NA,NA,0,17.761,0.207,3,16.008,0.089,3,15.139,0.199,3,NA,NA,0,NA,NA,0
166.982573,0.156,-77.457142,0.133,13.348,0.092,7,15.218,0.093,7,NA,NA,0,14.372,0.066,7,12.556,0.057,7,11.592,0.102,7,10.948,0.029,1,NA,NA,0
167.005989,0.159,-77.708022,0.2,12.764,0.083,7,14.169,0.172,7,NA,NA,0,13.55,0.118,7,12.045,0.08,7,11.284,0.083,7,10.538,0.015,2,NA,NA,0
167.013411,0.162,-77.6548,0.219,8.388,0.002,1,8.771,0.002,1,NA,NA,0,8.482,0.002,1,8.336,0.002,1,8.212,0.004,1,8.28,0.004,1,NA,NA,0
167.057695,0.423,-77.906138,0.438,NA,NA,0,NA,NA,0,NA,NA,0,18.452,0.206,1,16.465,0.14,1,15.732,0.162,1,NA,NA,0,NA,NA,0
167.062564,0.108,-77.564737,0.08,12.719,0.091,7,14.279,0.099,7,NA,NA,0,13.565,0.076,7,12.093,0.061,7,11.347,0.129,7,10.766,0.025,1,NA,NA,0
167.068333,0.349,-77.743644,0.249,16.261,0.036,2,17.923,0.379,2,NA,NA,0,17.179,0.081,6,15.492,0.078,6,13.932,0.062,5,NA,NA,0,NA,NA,0
167.088841,0.578,-77.617781,0.242,NA,NA,0,NA,NA,0,NA,NA,0,18.75,0.02,2,16.899,0.101,2,15.769,0.131,1,NA,NA,0,NA,NA,0
167.118593,0.751,-77.89091,0.26,NA,NA,0,NA,NA,0,NA,NA,0,17.397,0.094,5,15.543,0.064,5,14.626,0.069,5,NA,NA,0,NA,NA,0
167.166527,0.206,-77.90477,0.212,15.613,0.033,3,16.912,0.077,3,NA,NA,0,16.392,0.044,5,15.035,0.073,5,14.423,0.098,5,NA,NA,0,NA,NA,0
167.185763,0.176,-77.613839,0.109,NA,NA,0,NA,NA,0,NA,NA,0,18.438,0.2,1,16.556,0.096,1,15.443,0.096,1,NA,NA,0,NA,NA,0
167.234401,0.169,-77.531122,0.238,13.75,0.052,7,15.605,0.063,7,NA,NA,0,14.767,0.016,7,12.985,0.042,7,12.05,0.076,7,11.354,0.04,1,NA,NA,0
167.242529,0.607,-77.565536,0.331,NA,NA,0,NA,NA,0,NA,NA,0,17.783,0.133,2,16.226,0.095,2,15.358,0.071,2,NA,NA,0,NA,NA,0
167.242927,0.075,-77.881941,0.223,NA,NA,0,NA,NA,0,NA,NA,0,17.726,0.216,1,16.086,0.081,1,15.199,0.087,1,NA,NA,0,NA,NA,0
167.261315,0.638,-77.878428,0.434,NA,NA,0,NA,NA,0,NA,NA,0,17.963,0.369,3,16.454,0.034,3,15.917,0.041,3,NA,NA,0,NA,NA,0
167.299544,0.141,-77.486779,0.114,13.26,0.049,7,14.879,0.067,7,NA,NA,0,14.14,0.032,7,12.625,0.043,7,11.693,0.081,7,11.004,0.03,1,NA,NA,0
167.301181,0.158,-77.870247,0.132,15.312,0.078,5,16.766,0.093,5,NA,NA,0,16.125,0.053,5,14.803,0.062,5,14.279,0.114,5,NA,NA,0,NA,NA,0
167.32647,0.437,-77.794508,0.282,8.5,0.223,4,8.864,0.042,4,NA,NA,0,8.566,0.023,4,8.419,0.056,3,8.414,0.24,4,8.352,0.03,3,NA,NA,0
167.338777,0.108,-77.593313,0.221,NA,NA,0,NA,NA,0,NA,NA,0,18.145,0.155,1,16.618,0.103,1,15.73,0.116,1,NA,NA,0,NA,NA,0
167.36495,0.584,-77.614263,0.232,NA,NA,0,NA,NA,0,NA,NA,0,18.247,0.021,2,16.384,0.064,2,15.385,0.062,2,NA,NA,0,NA,NA,0
167.389744,0.494,-77.879147,0.145,NA,NA,0,NA,NA,0,NA,NA,0,18.188,0.048,2,16.285,0.155,2,15.527,0.014,2,NA,NA,0,NA,NA,0
167.445925,0.512,-77.832335,0.319,16.547,0.066,2,17.462,0.423,2,NA,NA,0,17.279,0.115,5,15.848,0.08,5,15.158,0.072,5,NA,NA,0,NA,NA,0
167.471425,0.266,-77.761149,0.275,15.059,0.048,5,17.33,0.136,5,NA,NA,0,16.181,0.044,6,14.099,0.057,6,13.015,0.063,6,12.207,0.042,3,NA,NA,0
167.494272,0.136,-77.619167,0.112,13.797,0.18,7,14.885,0.183,7,NA,NA,0,14.419,0.178,7,13.202,0.152,7,12.518,0.125,7,11.757,0.055,1,NA,NA,0
167.535559,0.434,-77.771568,0.318,NA,NA,0,NA,NA,0,NA,NA,0,18.163,0.123,3,16.224,0.165,3,15.241,0.029,3,NA,NA,0,NA,NA,0
167.57398,0.412,-77.875372,0.266,16.229,0.076,4,17.308,0.197,4,NA,NA,0,16.791,0.032,5,15.605,0.079,5,15.106,0.057,4,NA,NA,0,NA,NA,0
167.596625,0.93,-77.799142,0.41,NA,NA,0,NA,NA,0,NA,NA,0,18.313,0.206,1,17.406,0.223,1,16.474,0.244,1,NA,NA,0,NA,NA,0
167.606842,0.347,-77.71148,0.238,NA,NA,0,NA,NA,0,NA,NA,0,17.766,0.218,3,16.665,0.034,3,15.846,0.112,3,NA,NA,0,NA,NA,0
167.624501,0.507,-77.601742,0.285,16.202,0.064,1,17.901,0.194,1,NA,NA,0,17.295,0.233,4,15.355,0.085,4,14.316,0.031,4,NA,NA,0,NA,NA,0
167.629575,0.201,-77.699964,0.183,NA,NA,0,NA,NA,0,NA,NA,0,18.472,0.22,1,16.896,0.135,1,15.811,0.132,1,NA,NA,0,NA,NA,0
167.639001,0.314,-77.85286,0.204,16.429,0.094,1,17.962,0.289,1,NA,NA,0,17.216,0.089,5,15.744,0.077,5,15.043,0.105,5,NA,NA,0,NA,NA,0
167.642168,0.441,-77.839009,0.179,15.274,0.043,4,17.215,0.297,4,NA,NA,0,16.311,0.061,5,14.464,0.074,5,13.667,0.058,5,NA,NA,0,NA,NA,0
167.649091,0.606,-77.8124,0.12,NA,NA,0,NA,NA,0,NA,NA,0,18.236,0.085,2,16.928,0.211,2,16.087,0.171,1,NA,NA,0,NA,NA,0
167.658063,0.291,-77.54441,0.13,14.375,0.04,5,16.307,0.163,5,NA,NA,0,15.399,0.058,7,13.47,0.037,7,12.434,0.086,7,11.591,0.05,1,NA,NA,0
167.681446,0.774,-77.720503,0.43,NA,NA,0,NA,NA,0,NA,NA,0,17.841,0.136,3,16.573,0.154,3,15.862,0.161,3,NA,NA,0,NA,NA,0
167.689611,0.445,-77.762508,0.375,16.33,0.052,4,17.52,0.183,4,NA,NA,0,16.885,0.107,6,15.796,0.065,6,15.391,0.186,6,NA,NA,0,NA,NA,0
